;03_DM100_1_1_1_1;03_DM100_1_2_1_1;03_DM100_1_3_1_1;03_DM100_1_4_1_1;03_DM100_1_5_1_1;03_DM100_1_6_1_1;03_DM100_1_7_1_1;03_DM100_1_9_1_1;03_DM100_1_10_1_1;03_DM100_1_11_1_1;03_DM100_1_12_1_1;03_DM100_1_13_1_1;03_DM100_1_14_1_1;03_DM100_1_15_1_1;03_DM100_1_16_1_1;03_DM100_1_17_1_1;03_DM100_1_18_1_1;03_DM100_1_19_1_1;03_DM100_1_20_1_1
3.0000000000e-06;1.0271529480e+00;1.0269515241e+00;1.0277631876e+00;1.0269331091e+00;1.0268214178e+00;1.0273228449e+00;1.0274684599e+00;1.0279423785e+00;1.0278728615e+00;1.0276748648e+00;1.0277515767e+00;1.0276282797e+00;1.0274494211e+00;1.0278705569e+00;1.0278856083e+00;1.0279939137e+00;1.0279475468e+00;1.0279476256e+00;1.0280825886e+00
3.2000000000e-06;1.0253048549e+00;1.0252013833e+00;1.0260332544e+00;1.0265790914e+00;1.0262726968e+00;1.0259107676e+00;1.0263319734e+00;1.0259687004e+00;1.0260719562e+00;1.0264679132e+00;1.0257982040e+00;1.0262121214e+00;1.0262138043e+00;1.0262851539e+00;1.0265537083e+00;1.0257602761e+00;1.0263258483e+00;1.0264815435e+00;1.0268809754e+00
3.6000000000e-06;1.0255092131e+00;1.0256676020e+00;1.0261668107e+00;1.0257423025e+00;1.0259957675e+00;1.0265513188e+00;1.0261885451e+00;1.0260893720e+00;1.0265487817e+00;1.0265034479e+00;1.0261618766e+00;1.0262594552e+00;1.0262336440e+00;1.0265882629e+00;1.0259369310e+00;1.0262424362e+00;1.0266511484e+00;1.0265521504e+00;1.0264301763e+00
4.0000000000e-06;1.0257595457e+00;1.0256985872e+00;1.0260916523e+00;1.0260197641e+00;1.0260309720e+00;1.0265831576e+00;1.0264748946e+00;1.0262551431e+00;1.0262004803e+00;1.0266637595e+00;1.0261074107e+00;1.0264534816e+00;1.0263927288e+00;1.0260059992e+00;1.0264836432e+00;1.0263036345e+00;1.0265330102e+00;1.0268652212e+00;1.0271567759e+00
4.4000000000e-06;1.0252899498e+00;1.0258775811e+00;1.0259662940e+00;1.0258381966e+00;1.0252468195e+00;1.0259808224e+00;1.0259560051e+00;1.0263124340e+00;1.0261773412e+00;1.0259628543e+00;1.0261783538e+00;1.0264977950e+00;1.0262512399e+00;1.0260255379e+00;1.0258185332e+00;1.0259285929e+00;1.0262135782e+00;1.0261471783e+00;1.0259456722e+00
4.8000000000e-06;1.0252870745e+00;1.0256082513e+00;1.0254751816e+00;1.0249193142e+00;1.0254976804e+00;1.0255462785e+00;1.0259611292e+00;1.0250452750e+00;1.0260463614e+00;1.0259490320e+00;1.0255458926e+00;1.0261406421e+00;1.0257301835e+00;1.0261621228e+00;1.0262436221e+00;1.0264508604e+00;1.0264622205e+00;1.0260974943e+00;1.0260769040e+00
5.2000000000e-06;1.0250778901e+00;1.0251549880e+00;1.0254363226e+00;1.0255388459e+00;1.0252420808e+00;1.0260674419e+00;1.0254440823e+00;1.0257087795e+00;1.0255859548e+00;1.0255383387e+00;1.0256908114e+00;1.0256688780e+00;1.0256770458e+00;1.0256493696e+00;1.0256146479e+00;1.0252903308e+00;1.0256162574e+00;1.0254852583e+00;1.0262391842e+00
5.6000000000e-06;1.0249263218e+00;1.0246521197e+00;1.0253674899e+00;1.0248558301e+00;1.0250958477e+00;1.0255298539e+00;1.0258570607e+00;1.0254876582e+00;1.0254867941e+00;1.0254061612e+00;1.0254922300e+00;1.0260288134e+00;1.0257365598e+00;1.0254612117e+00;1.0252366145e+00;1.0256224170e+00;1.0256829558e+00;1.0254124491e+00;1.0253943574e+00
6.0000000000e-06;1.0247072775e+00;1.0249149472e+00;1.0252116869e+00;1.0251218865e+00;1.0254488911e+00;1.0256731890e+00;1.0258135065e+00;1.0251501598e+00;1.0258915572e+00;1.0255234226e+00;1.0253129096e+00;1.0258261411e+00;1.0257413974e+00;1.0253573344e+00;1.0260960513e+00;1.0255813288e+00;1.0255657165e+00;1.0254574759e+00;1.0258736162e+00
6.4000000000e-06;1.0246225341e+00;1.0252900048e+00;1.0250689735e+00;1.0250058250e+00;1.0251122036e+00;1.0249990247e+00;1.0250706801e+00;1.0249636888e+00;1.0253358900e+00;1.0251622009e+00;1.0249570078e+00;1.0252931530e+00;1.0255446605e+00;1.0254081649e+00;1.0247663829e+00;1.0248902869e+00;1.0254188150e+00;1.0251821361e+00;1.0255578818e+00
7.2000000000e-06;1.0242424888e+00;1.0241302332e+00;1.0249009929e+00;1.0248785328e+00;1.0245515825e+00;1.0248497400e+00;1.0250613590e+00;1.0250513545e+00;1.0252032080e+00;1.0245980380e+00;1.0243792516e+00;1.0251032024e+00;1.0248118506e+00;1.0248757612e+00;1.0248647380e+00;1.0248094023e+00;1.0250211377e+00;1.0249971740e+00;1.0250913748e+00
