;02_FL100_2_1_1_1;02_FL100_2_2_1_1;02_FL100_2_3_1_1;02_FL100_2_4_1_1;02_FL100_2_5_1_1;02_FL100_2_6_1_1;02_FL100_2_7_1_1;02_FL100_2_8_1_1;02_FL100_2_9_1_1;02_FL100_2_10_1_1;02_FL100_2_11_1_1;02_FL100_2_12_1_1;02_FL100_2_13_1_1;02_FL100_2_14_1_1;02_FL100_2_15_1_1;02_FL100_2_16_1_1;02_FL100_2_17_1_1;02_FL100_2_18_1_1
3.2000000000e-06;1.0399209531e+00;1.0377429881e+00;1.0294471062e+00;1.0352639402e+00;1.0417742381e+00;1.0429369440e+00;1.0514979770e+00;1.0433579436e+00;1.0551707390e+00;1.0269361978e+00;1.0400367282e+00;1.0459117047e+00;1.0507064397e+00;1.0515882957e+00;1.0405900206e+00;1.0448809235e+00;1.0492043063e+00;1.0507775490e+00
3.6000000000e-06;1.0411903032e+00;1.0384651333e+00;1.0301303495e+00;1.0347615571e+00;1.0431102447e+00;1.0426288133e+00;1.0523413531e+00;1.0443768860e+00;1.0549575191e+00;1.0272143268e+00;1.0413068026e+00;1.0450353370e+00;1.0510795125e+00;1.0518829912e+00;1.0415672399e+00;1.0442259405e+00;1.0503375665e+00;1.0517283681e+00
4.0000000000e-06;1.0399535549e+00;1.0384566444e+00;1.0306458043e+00;1.0351501873e+00;1.0419334407e+00;1.0432005604e+00;1.0522036270e+00;1.0445619400e+00;1.0535063697e+00;1.0275463888e+00;1.0409763526e+00;1.0447544597e+00;1.0511440964e+00;1.0515926392e+00;1.0410716398e+00;1.0448191871e+00;1.0505464338e+00;1.0500220413e+00
4.4000000000e-06;1.0399275296e+00;1.0377044125e+00;1.0303191671e+00;1.0335118874e+00;1.0418691788e+00;1.0423143270e+00;1.0516679900e+00;1.0437224403e+00;1.0538292452e+00;1.0264914782e+00;1.0405421724e+00;1.0443718823e+00;1.0515190850e+00;1.0523944201e+00;1.0402566416e+00;1.0439225195e+00;1.0495276813e+00;1.0508424476e+00
4.8000000000e-06;1.0406880214e+00;1.0381988516e+00;1.0301157595e+00;1.0339004604e+00;1.0414364562e+00;1.0422783165e+00;1.0499683972e+00;1.0431483186e+00;1.0532271725e+00;1.0264237371e+00;1.0404311877e+00;1.0452013556e+00;1.0516722337e+00;1.0512862997e+00;1.0394452266e+00;1.0434217995e+00;1.0497007540e+00;1.0500817599e+00
5.2000000000e-06;1.0399652292e+00;1.0375640833e+00;1.0296733037e+00;1.0337455688e+00;1.0416422230e+00;1.0417502956e+00;1.0502392619e+00;1.0430647013e+00;1.0528710703e+00;1.0267335230e+00;1.0401337611e+00;1.0439517721e+00;1.0509074032e+00;1.0511902414e+00;1.0396086641e+00;1.0435418148e+00;1.0476927449e+00;1.0501146365e+00
5.6000000000e-06;1.0391357598e+00;1.0366180864e+00;1.0295088240e+00;1.0333275774e+00;1.0407978785e+00;1.0413561359e+00;1.0502610895e+00;1.0425399703e+00;1.0535580594e+00;1.0256947470e+00;1.0401353692e+00;1.0435981017e+00;1.0498712813e+00;1.0508900579e+00;1.0408429346e+00;1.0432053359e+00;1.0495255625e+00;1.0493853293e+00
6.0000000000e-06;1.0397960716e+00;1.0377270084e+00;1.0285176101e+00;1.0346891664e+00;1.0412682188e+00;1.0414387965e+00;1.0501668665e+00;1.0427900309e+00;1.0534537378e+00;1.0261726837e+00;1.0406836902e+00;1.0434882425e+00;1.0510291960e+00;1.0508370490e+00;1.0388164705e+00;1.0431233739e+00;1.0487822877e+00;1.0492782006e+00
6.4000000000e-06;1.0394693211e+00;1.0360087704e+00;1.0293236598e+00;1.0332076035e+00;1.0403911434e+00;1.0410669067e+00;1.0497637864e+00;1.0417097890e+00;1.0518205313e+00;1.0261222030e+00;1.0392764315e+00;1.0442821213e+00;1.0498106766e+00;1.0508842008e+00;1.0387064804e+00;1.0433463986e+00;1.0478416472e+00;1.0497294088e+00
7.2000000000e-06;1.0379081273e+00;1.0361104985e+00;1.0284659580e+00;1.0332823060e+00;1.0396115532e+00;1.0402321786e+00;1.0491502306e+00;1.0414077073e+00;1.0520368541e+00;1.0250080306e+00;1.0398073165e+00;1.0436559241e+00;1.0498242695e+00;1.0503342130e+00;1.0382004410e+00;1.0425671319e+00;1.0484033304e+00;1.0495355818e+00
8.0000000000e-06;1.0379996522e+00;1.0365266734e+00;1.0286739983e+00;1.0332784096e+00;1.0396557498e+00;1.0408442711e+00;1.0485060505e+00;1.0414974527e+00;1.0506995466e+00;1.0253231947e+00;1.0391323378e+00;1.0428210121e+00;1.0485322189e+00;1.0498487830e+00;1.0383685343e+00;1.0421044588e+00;1.0474085665e+00;1.0485463167e+00
8.8000000000e-06;1.0381713453e+00;1.0354680943e+00;1.0275140078e+00;1.0326027183e+00;1.0389012252e+00;1.0399094935e+00;1.0487434475e+00;1.0402414350e+00;1.0509496422e+00;1.0248646486e+00;1.0387550252e+00;1.0425932647e+00;1.0485065792e+00;1.0487523142e+00;1.0376415706e+00;1.0419013907e+00;1.0467241783e+00;1.0480847871e+00
9.6000000000e-06;1.0368250715e+00;1.0352151851e+00;1.0279870843e+00;1.0323213991e+00;1.0379725281e+00;1.0393465296e+00;1.0477892853e+00;1.0403008817e+00;1.0504295756e+00;1.0249333004e+00;1.0386395190e+00;1.0424101330e+00;1.0478064970e+00;1.0491879252e+00;1.0374264139e+00;1.0412709562e+00;1.0455180682e+00;1.0478025515e+00
1.0400000000e-05;1.0374223575e+00;1.0353598559e+00;1.0277817839e+00;1.0318652835e+00;1.0380253872e+00;1.0393341490e+00;1.0478475003e+00;1.0403403306e+00;1.0499911301e+00;1.0244536919e+00;1.0389213096e+00;1.0413287817e+00;1.0467529127e+00;1.0484956495e+00;1.0367329568e+00;1.0408325207e+00;1.0459839110e+00;1.0474647965e+00
1.1200000000e-05;1.0366226328e+00;1.0348848879e+00;1.0271721105e+00;1.0316079444e+00;1.0379048062e+00;1.0388717682e+00;1.0465628555e+00;1.0399023660e+00;1.0500552174e+00;1.0245860327e+00;1.0383517831e+00;1.0407990286e+00;1.0475881625e+00;1.0481374545e+00;1.0367184607e+00;1.0404068986e+00;1.0447072522e+00;1.0462729789e+00
1.2000000000e-05;1.0361074093e+00;1.0342732553e+00;1.0275139044e+00;1.0314066514e+00;1.0379599382e+00;1.0377789912e+00;1.0463655748e+00;1.0394502859e+00;1.0502247205e+00;1.0242423056e+00;1.0379717354e+00;1.0403623035e+00;1.0464154602e+00;1.0480654039e+00;1.0363776584e+00;1.0395749701e+00;1.0451330704e+00;1.0460062195e+00
1.2800000000e-05;1.0360883244e+00;1.0341317860e+00;1.0269759126e+00;1.0308291600e+00;1.0371052767e+00;1.0375623679e+00;1.0465997236e+00;1.0393933134e+00;1.0494738406e+00;1.0238861464e+00;1.0376834150e+00;1.0408258416e+00;1.0458448669e+00;1.0472038691e+00;1.0357633079e+00;1.0401728697e+00;1.0445741412e+00;1.0463083826e+00
1.4400000000e-05;1.0359072629e+00;1.0337179982e+00;1.0260907343e+00;1.0304576128e+00;1.0371861689e+00;1.0370839331e+00;1.0454888894e+00;1.0377043852e+00;1.0488255154e+00;1.0236853050e+00;1.0372733574e+00;1.0396876432e+00;1.0455547005e+00;1.0469945532e+00;1.0354779685e+00;1.0393325030e+00;1.0430545694e+00;1.0461871108e+00
1.6000000000e-05;1.0345233002e+00;1.0334121619e+00;1.0259780308e+00;1.0297808893e+00;1.0363993552e+00;1.0366277936e+00;1.0448857351e+00;1.0373375401e+00;1.0486810888e+00;1.0231276236e+00;1.0367752719e+00;1.0393765726e+00;1.0441730882e+00;1.0471363074e+00;1.0349553782e+00;1.0388514481e+00;1.0427991695e+00;1.0443182609e+00
1.7600000000e-05;1.0341140147e+00;1.0325425268e+00;1.0254772772e+00;1.0300373322e+00;1.0358505466e+00;1.0360542921e+00;1.0443407072e+00;1.0368310168e+00;1.0480484123e+00;1.0229182100e+00;1.0361964509e+00;1.0385683012e+00;1.0440396967e+00;1.0460551374e+00;1.0343095453e+00;1.0381380436e+00;1.0418758633e+00;1.0439113707e+00
1.9200000000e-05;1.0336290409e+00;1.0322616065e+00;1.0255272139e+00;1.0289510366e+00;1.0354477131e+00;1.0350981338e+00;1.0437469309e+00;1.0357952785e+00;1.0473670146e+00;1.0221956636e+00;1.0361850060e+00;1.0384212847e+00;1.0435585483e+00;1.0456852939e+00;1.0342963759e+00;1.0375192608e+00;1.0418034049e+00;1.0439417832e+00
2.0800000000e-05;1.0328791003e+00;1.0317928664e+00;1.0249416223e+00;1.0286924837e+00;1.0344346756e+00;1.0349023941e+00;1.0434469336e+00;1.0359428785e+00;1.0463781714e+00;1.0219757436e+00;1.0355518371e+00;1.0377281157e+00;1.0428551975e+00;1.0448977076e+00;1.0335295574e+00;1.0374985021e+00;1.0411343016e+00;1.0427295097e+00
2.2400000000e-05;1.0331041268e+00;1.0311338388e+00;1.0246644517e+00;1.0281124132e+00;1.0343505881e+00;1.0347778628e+00;1.0430384943e+00;1.0350455512e+00;1.0464222432e+00;1.0220066097e+00;1.0355041767e+00;1.0373044321e+00;1.0423331412e+00;1.0447455552e+00;1.0330693718e+00;1.0365403243e+00;1.0406081063e+00;1.0421685585e+00
2.4000000000e-05;1.0317860741e+00;1.0311033393e+00;1.0244182634e+00;1.0278846755e+00;1.0334318660e+00;1.0342897672e+00;1.0429163519e+00;1.0350396547e+00;1.0458357562e+00;1.0216798798e+00;1.0352528038e+00;1.0373959434e+00;1.0421355154e+00;1.0444824652e+00;1.0326684042e+00;1.0369790075e+00;1.0400485444e+00;1.0421924837e+00
2.5600000000e-05;1.0322851209e+00;1.0310899805e+00;1.0238153808e+00;1.0276459104e+00;1.0334771862e+00;1.0334256499e+00;1.0421381608e+00;1.0341028897e+00;1.0454468894e+00;1.0213344354e+00;1.0350521838e+00;1.0370652946e+00;1.0418202695e+00;1.0439232724e+00;1.0325347571e+00;1.0356450266e+00;1.0397089238e+00;1.0418377428e+00
