;06_mNG_3_1_1_1;06_mNG_3_2_1_1;06_mNG_3_3_1_1;06_mNG_3_4_1_1;06_mNG_3_5_1_1;06_mNG_3_6_1_1;06_mNG_3_7_1_1;06_mNG_3_8_1_1;06_mNG_3_9_1_1;06_mNG_3_10_1_1;06_mNG_3_11_1_1;06_mNG_3_12_1_1;06_mNG_3_13_1_1;06_mNG_3_14_1_1;06_mNG_3_15_1_1;06_mNG_3_16_1_1;06_mNG_3_17_1_1;06_mNG_3_18_1_1;06_mNG_3_19_1_1;06_mNG_3_20_1_1
2.0000000000e-07;1.0158477483e+00;1.0126739065e+00;1.0202669379e+00;1.0237116532e+00;1.0301407061e+00;1.0346673773e+00;1.0372722663e+00;1.0375765354e+00;1.0366677852e+00;1.0391583609e+00;1.0433132784e+00;1.0464446583e+00;1.0456328609e+00;1.0383440409e+00;1.0442721740e+00;1.0456799397e+00;1.0466032282e+00;1.0479543451e+00;1.0496831663e+00;1.0465658412e+00
4.0000000000e-07;1.1143307550e+00;1.1120212932e+00;1.1156631628e+00;1.1256630068e+00;1.1237489036e+00;1.1317376990e+00;1.1324565750e+00;1.1364287700e+00;1.1397036087e+00;1.1400689717e+00;1.1395806374e+00;1.1459031512e+00;1.1454702399e+00;1.1420676042e+00;1.1476120027e+00;1.1498073774e+00;1.1499424042e+00;1.1493140099e+00;1.1492758325e+00;1.1473061233e+00
6.0000000000e-07;1.1147166408e+00;1.1138507656e+00;1.1176566821e+00;1.1230807087e+00;1.1241381090e+00;1.1294306310e+00;1.1325871944e+00;1.1368587464e+00;1.1378236204e+00;1.1429774344e+00;1.1417774534e+00;1.1388660040e+00;1.1454071104e+00;1.1440437561e+00;1.1466983641e+00;1.1489142306e+00;1.1463215892e+00;1.1458750787e+00;1.1490163414e+00;1.1518554061e+00
8.0000000000e-07;1.1116360430e+00;1.1078740302e+00;1.1135865155e+00;1.1190517908e+00;1.1247103019e+00;1.1293818631e+00;1.1331383631e+00;1.1372098275e+00;1.1374301299e+00;1.1349307793e+00;1.1393720670e+00;1.1430178072e+00;1.1397505062e+00;1.1417852847e+00;1.1441309789e+00;1.1465480879e+00;1.1446323477e+00;1.1482468682e+00;1.1461939865e+00;1.1486179999e+00
1.0000000000e-06;1.1153205385e+00;1.1089569539e+00;1.1159697605e+00;1.1198281474e+00;1.1254567684e+00;1.1328714033e+00;1.1343904472e+00;1.1354182951e+00;1.1370500919e+00;1.1366039065e+00;1.1420661001e+00;1.1414617454e+00;1.1426331565e+00;1.1415806056e+00;1.1483343934e+00;1.1424310931e+00;1.1482959170e+00;1.1446590350e+00;1.1502177837e+00;1.1499051961e+00
1.2000000000e-06;1.1104325728e+00;1.1085120572e+00;1.1139371261e+00;1.1201659273e+00;1.1188198397e+00;1.1281780344e+00;1.1326285950e+00;1.1317827370e+00;1.1327621114e+00;1.1375779154e+00;1.1371580055e+00;1.1391276556e+00;1.1415249765e+00;1.1412206569e+00;1.1425905399e+00;1.1462883185e+00;1.1417919967e+00;1.1438932480e+00;1.1452520072e+00;1.1442661887e+00
1.4000000000e-06;1.1102254500e+00;1.1042866727e+00;1.1147021144e+00;1.1189102553e+00;1.1250849730e+00;1.1258374424e+00;1.1338105876e+00;1.1315235177e+00;1.1359168589e+00;1.1393528560e+00;1.1390767428e+00;1.1371633907e+00;1.1405675924e+00;1.1381082030e+00;1.1437024752e+00;1.1422496069e+00;1.1402383324e+00;1.1440456896e+00;1.1472958944e+00;1.1450596636e+00
1.6000000000e-06;1.1101055343e+00;1.1072946830e+00;1.1159550316e+00;1.1215553298e+00;1.1223808205e+00;1.1251212416e+00;1.1304270718e+00;1.1318385057e+00;1.1318373915e+00;1.1357825950e+00;1.1399457330e+00;1.1376029883e+00;1.1379163849e+00;1.1410759626e+00;1.1403985176e+00;1.1474378014e+00;1.1455590636e+00;1.1420780512e+00;1.1399023287e+00;1.1447316860e+00
1.8000000000e-06;1.1100771862e+00;1.1054695392e+00;1.1126277918e+00;1.1169189422e+00;1.1200019788e+00;1.1227836971e+00;1.1294617143e+00;1.1298304151e+00;1.1322779542e+00;1.1353821234e+00;1.1375785824e+00;1.1379869150e+00;1.1368783425e+00;1.1385069520e+00;1.1410607188e+00;1.1406022414e+00;1.1393046084e+00;1.1468466058e+00;1.1399982971e+00;1.1437230784e+00
2.0000000000e-06;1.1096694869e+00;1.1051678756e+00;1.1140083351e+00;1.1180984625e+00;1.1235048742e+00;1.1258892350e+00;1.1297834925e+00;1.1312413187e+00;1.1339628704e+00;1.1356468325e+00;1.1387013195e+00;1.1389290681e+00;1.1351774996e+00;1.1450529686e+00;1.1422576433e+00;1.1453881913e+00;1.1437415199e+00;1.1426383477e+00;1.1448005510e+00;1.1414378487e+00
