;06_mNG_1_1_1_1;06_mNG_1_2_1_1;06_mNG_1_3_1_1;06_mNG_1_4_1_1;06_mNG_1_5_1_1;06_mNG_1_6_1_1;06_mNG_1_7_1_1;06_mNG_1_8_1_1;06_mNG_1_9_1_1;06_mNG_1_10_1_1;06_mNG_1_11_1_1;06_mNG_1_12_1_1;06_mNG_1_13_1_1;06_mNG_1_14_1_1;06_mNG_1_15_1_1;06_mNG_1_16_1_1;06_mNG_1_17_1_1;06_mNG_1_18_1_1;06_mNG_1_19_1_1;06_mNG_1_20_1_1
2.0000000000e-07;1.0036537782e+00;1.0045071781e+00;1.0096126205e+00;1.0138112235e+00;1.0141715055e+00;1.0177455717e+00;1.0189964334e+00;1.0232779809e+00;1.0247418215e+00;1.0267188156e+00;1.0306504859e+00;1.0282828111e+00;1.0321656246e+00;1.0295558034e+00;1.0321669405e+00;1.0323760078e+00;1.0349468530e+00;1.0313044768e+00;1.0380515121e+00;1.0329400116e+00
4.0000000000e-07;1.0980810603e+00;1.0996090637e+00;1.1032540621e+00;1.1133307148e+00;1.1096063632e+00;1.1153538604e+00;1.1177199465e+00;1.1201594542e+00;1.1248166435e+00;1.1296431066e+00;1.1299556269e+00;1.1300583604e+00;1.1307073457e+00;1.1311705202e+00;1.1330824165e+00;1.1317143310e+00;1.1359229775e+00;1.1341929093e+00;1.1327675740e+00;1.1343472431e+00
6.0000000000e-07;1.0972427654e+00;1.0987249054e+00;1.1071961691e+00;1.1123882590e+00;1.1139854106e+00;1.1154955604e+00;1.1197564749e+00;1.1187576104e+00;1.1197146767e+00;1.1247401876e+00;1.1257358863e+00;1.1259903900e+00;1.1302844659e+00;1.1296885019e+00;1.1292495303e+00;1.1311974919e+00;1.1351244684e+00;1.1353978608e+00;1.1309933264e+00;1.1332945931e+00
8.0000000000e-07;1.0950175082e+00;1.0982427195e+00;1.1032865873e+00;1.1068263216e+00;1.1116029465e+00;1.1156143373e+00;1.1178231594e+00;1.1180599970e+00;1.1204172136e+00;1.1245921694e+00;1.1262651115e+00;1.1261647597e+00;1.1292043191e+00;1.1306498671e+00;1.1257257082e+00;1.1291647734e+00;1.1299642681e+00;1.1316587610e+00;1.1322809561e+00;1.1332970937e+00
1.0000000000e-06;1.0975045710e+00;1.0979839078e+00;1.1046908093e+00;1.1093572317e+00;1.1125408852e+00;1.1163186925e+00;1.1179134751e+00;1.1222986197e+00;1.1226750162e+00;1.1226820011e+00;1.1267284769e+00;1.1264418437e+00;1.1288394335e+00;1.1282452233e+00;1.1309554549e+00;1.1301688873e+00;1.1345557724e+00;1.1294451122e+00;1.1342148991e+00;1.1354025051e+00
1.2000000000e-06;1.0948725897e+00;1.0963293932e+00;1.1035451589e+00;1.1083082768e+00;1.1091789220e+00;1.1109651262e+00;1.1167028504e+00;1.1152961668e+00;1.1169546298e+00;1.1230867169e+00;1.1240401022e+00;1.1239743056e+00;1.1250383944e+00;1.1253054083e+00;1.1253801290e+00;1.1283612014e+00;1.1283051811e+00;1.1285556741e+00;1.1279114685e+00;1.1306555749e+00
1.4000000000e-06;1.0962877389e+00;1.0934856043e+00;1.1014663170e+00;1.1048627908e+00;1.1092996221e+00;1.1095126363e+00;1.1149845861e+00;1.1168657782e+00;1.1191168188e+00;1.1209867841e+00;1.1228428583e+00;1.1238023130e+00;1.1264060841e+00;1.1266639140e+00;1.1261905037e+00;1.1299390251e+00;1.1312698806e+00;1.1273035066e+00;1.1267510935e+00;1.1313172313e+00
1.6000000000e-06;1.0941998962e+00;1.0974169819e+00;1.1040949572e+00;1.1096969093e+00;1.1080194559e+00;1.1130365194e+00;1.1158383332e+00;1.1185744695e+00;1.1182187405e+00;1.1227675534e+00;1.1218314333e+00;1.1268550724e+00;1.1253235208e+00;1.1233729685e+00;1.1272052987e+00;1.1271619675e+00;1.1286020023e+00;1.1299792513e+00;1.1316021797e+00;1.1268886005e+00
1.8000000000e-06;1.0929164326e+00;1.0958487359e+00;1.1028054591e+00;1.1057568121e+00;1.1063137365e+00;1.1110255420e+00;1.1105590600e+00;1.1157442960e+00;1.1161202007e+00;1.1188174646e+00;1.1214340407e+00;1.1224909024e+00;1.1233106346e+00;1.1199657867e+00;1.1252681673e+00;1.1233759721e+00;1.1279171025e+00;1.1260339422e+00;1.1252489688e+00;1.1302871322e+00
2.0000000000e-06;1.0938095239e+00;1.0960705635e+00;1.1014388996e+00;1.1051483411e+00;1.1090960179e+00;1.1119195328e+00;1.1125246216e+00;1.1173118203e+00;1.1175230068e+00;1.1199021127e+00;1.1239649352e+00;1.1229018794e+00;1.1251519432e+00;1.1233124172e+00;1.1243239344e+00;1.1248326244e+00;1.1290346857e+00;1.1320239405e+00;1.1282634276e+00;1.1291417492e+00
