;05_DP_1_1_1_1;05_DP_1_2_1_1;05_DP_1_3_1_1;05_DP_1_4_1_1;05_DP_1_5_1_1;05_DP_1_6_1_1;05_DP_1_7_1_1;05_DP_1_8_1_1;05_DP_1_9_1_1;05_DP_1_10_1_1;05_DP_1_11_1_1;05_DP_1_12_1_1;05_DP_1_13_1_1;05_DP_1_14_1_1;05_DP_1_15_1_1;05_DP_1_16_1_1;05_DP_1_17_1_1;05_DP_1_18_1_1;05_DP_1_19_1_1;05_DP_1_20_1_1
2.0000000000e-07;9.8190750498e-01;9.8169156590e-01;9.8213027748e-01;9.8593021164e-01;9.8465937829e-01;9.8662652130e-01;9.8809620988e-01;9.9033401767e-01;9.9072062646e-01;9.9597544254e-01;9.9568343302e-01;1.0005435551e+00;1.0006382450e+00;9.9958668811e-01;1.0030847898e+00;1.0064534985e+00;1.0093233292e+00;1.0077752685e+00;1.0114979107e+00;1.0110502120e+00
4.0000000000e-07;1.0724549639e+00;1.0759347641e+00;1.0753079797e+00;1.0787822740e+00;1.0793412422e+00;1.0811142958e+00;1.0827019028e+00;1.0842861305e+00;1.0871295492e+00;1.0889765234e+00;1.0906530129e+00;1.0930292431e+00;1.0952605726e+00;1.0962221425e+00;1.0974022994e+00;1.1016126468e+00;1.1032611798e+00;1.1052830561e+00;1.1059413893e+00;1.1061924887e+00
6.0000000000e-07;1.0732781166e+00;1.0730432508e+00;1.0753266858e+00;1.0785662192e+00;1.0798266142e+00;1.0809798124e+00;1.0810661447e+00;1.0834900104e+00;1.0849865412e+00;1.0872479912e+00;1.0885425266e+00;1.0921356872e+00;1.0943684684e+00;1.0968076581e+00;1.0970747565e+00;1.1011643013e+00;1.1003422262e+00;1.1024081826e+00;1.1077144915e+00;1.1052612048e+00
8.0000000000e-07;1.0723476728e+00;1.0730777276e+00;1.0743207517e+00;1.0757293338e+00;1.0768702148e+00;1.0789261211e+00;1.0798267742e+00;1.0827632714e+00;1.0837331409e+00;1.0858918126e+00;1.0884706874e+00;1.0905746347e+00;1.0920062628e+00;1.0937266932e+00;1.0966185810e+00;1.0972539835e+00;1.1003102002e+00;1.1021164254e+00;1.1038679958e+00;1.1072053472e+00
1.0000000000e-06;1.0718195247e+00;1.0743610833e+00;1.0760836832e+00;1.0792441266e+00;1.0783768538e+00;1.0821162171e+00;1.0823895320e+00;1.0837708472e+00;1.0861214851e+00;1.0899018327e+00;1.0887610495e+00;1.0938161462e+00;1.0935896203e+00;1.0965950461e+00;1.0972510190e+00;1.0987373271e+00;1.1007828102e+00;1.1025838991e+00;1.1058300525e+00;1.1048532314e+00
1.2000000000e-06;1.0698073527e+00;1.0724877245e+00;1.0733410507e+00;1.0760407981e+00;1.0754124899e+00;1.0772177483e+00;1.0787910426e+00;1.0798267002e+00;1.0833461061e+00;1.0874946509e+00;1.0871726187e+00;1.0906812516e+00;1.0902897383e+00;1.0919736017e+00;1.0952441053e+00;1.0988324235e+00;1.1009878245e+00;1.1013254891e+00;1.1027214274e+00;1.1051542731e+00
1.4000000000e-06;1.0723036427e+00;1.0729981952e+00;1.0741165562e+00;1.0756972518e+00;1.0753635514e+00;1.0798840466e+00;1.0800878258e+00;1.0808582660e+00;1.0819155146e+00;1.0843363941e+00;1.0872191525e+00;1.0898388775e+00;1.0922902960e+00;1.0939138044e+00;1.0955049378e+00;1.0990152117e+00;1.0984543922e+00;1.1007774491e+00;1.1028912595e+00;1.1045549855e+00
1.6000000000e-06;1.0699153070e+00;1.0710674107e+00;1.0729338950e+00;1.0754285208e+00;1.0780619318e+00;1.0792788924e+00;1.0818554658e+00;1.0807258704e+00;1.0824340258e+00;1.0851543277e+00;1.0872586042e+00;1.0903272318e+00;1.0918786377e+00;1.0935315829e+00;1.0948998819e+00;1.0980456558e+00;1.0999016925e+00;1.1024916284e+00;1.1033124517e+00;1.1035083470e+00
1.8000000000e-06;1.0701794391e+00;1.0711254785e+00;1.0714514687e+00;1.0751956707e+00;1.0736628149e+00;1.0781275276e+00;1.0791137989e+00;1.0790350105e+00;1.0818427609e+00;1.0833291217e+00;1.0862347218e+00;1.0893057212e+00;1.0888284100e+00;1.0923605337e+00;1.0916840592e+00;1.0953100038e+00;1.0971172230e+00;1.1000512204e+00;1.1014796492e+00;1.1043495862e+00
2.0000000000e-06;1.0714620326e+00;1.0718819360e+00;1.0721978925e+00;1.0768157190e+00;1.0766232927e+00;1.0794947082e+00;1.0813803923e+00;1.0810111499e+00;1.0835857563e+00;1.0865966876e+00;1.0845602935e+00;1.0902397841e+00;1.0891358418e+00;1.0944191474e+00;1.0946854822e+00;1.0953013522e+00;1.1005689785e+00;1.1006401860e+00;1.1017229459e+00;1.1039824148e+00
2.2000000000e-06;1.0686569598e+00;1.0709068616e+00;1.0722910969e+00;1.0725298567e+00;1.0737489012e+00;1.0773770985e+00;1.0766743571e+00;1.0788813609e+00;1.0812906584e+00;1.0841237676e+00;1.0836750188e+00;1.0867562129e+00;1.0896983903e+00;1.0903053873e+00;1.0922914793e+00;1.0945244712e+00;1.0962744434e+00;1.0988270458e+00;1.1013398802e+00;1.1024448154e+00
2.4000000000e-06;1.0703899196e+00;1.0703010227e+00;1.0720547089e+00;1.0743429800e+00;1.0733140279e+00;1.0769670195e+00;1.0778557352e+00;1.0797423309e+00;1.0814333379e+00;1.0835147171e+00;1.0862711262e+00;1.0877819767e+00;1.0901832686e+00;1.0905725836e+00;1.0954609280e+00;1.0946183325e+00;1.0964178873e+00;1.0986514048e+00;1.1011822646e+00;1.1003895267e+00
2.6000000000e-06;1.0689829102e+00;1.0705368970e+00;1.0717519550e+00;1.0730466818e+00;1.0734885143e+00;1.0777041486e+00;1.0767532441e+00;1.0795619552e+00;1.0786337115e+00;1.0837969984e+00;1.0844682074e+00;1.0889655511e+00;1.0896595432e+00;1.0904134180e+00;1.0923213321e+00;1.0957397932e+00;1.0967022194e+00;1.0989511669e+00;1.1019390566e+00;1.1030806611e+00
2.8000000000e-06;1.0685015246e+00;1.0695180880e+00;1.0702076368e+00;1.0712442341e+00;1.0724056810e+00;1.0762132699e+00;1.0766950323e+00;1.0782221372e+00;1.0799225380e+00;1.0831676463e+00;1.0831843090e+00;1.0859820693e+00;1.0896218117e+00;1.0910744474e+00;1.0924463856e+00;1.0938822037e+00;1.0966420157e+00;1.0963126742e+00;1.0979499914e+00;1.1005851513e+00
3.0000000000e-06;1.0690702339e+00;1.0696471350e+00;1.0714186219e+00;1.0744490775e+00;1.0757204522e+00;1.0772284850e+00;1.0776648364e+00;1.0798685591e+00;1.0813894882e+00;1.0839575445e+00;1.0836163140e+00;1.0866079748e+00;1.0877799110e+00;1.0907956215e+00;1.0931371847e+00;1.0956817318e+00;1.0961451505e+00;1.0971380207e+00;1.1002366837e+00;1.1015614399e+00
3.2000000000e-06;1.0680889014e+00;1.0682440343e+00;1.0686543643e+00;1.0710968813e+00;1.0714049217e+00;1.0756330127e+00;1.0765375223e+00;1.0784808376e+00;1.0795373682e+00;1.0811182310e+00;1.0822717114e+00;1.0849360280e+00;1.0856784554e+00;1.0911034791e+00;1.0906085939e+00;1.0938500793e+00;1.0945018755e+00;1.0963747288e+00;1.0981918287e+00;1.0989687672e+00
3.6000000000e-06;1.0677626438e+00;1.0683562266e+00;1.0688121283e+00;1.0722080959e+00;1.0730623641e+00;1.0740832642e+00;1.0768555017e+00;1.0769556804e+00;1.0787895735e+00;1.0824242810e+00;1.0821649612e+00;1.0853204969e+00;1.0859254888e+00;1.0888956440e+00;1.0895664190e+00;1.0915423757e+00;1.0948592933e+00;1.0955275751e+00;1.0980179028e+00;1.0987411423e+00
4.0000000000e-06;1.0678558801e+00;1.0693080501e+00;1.0695361754e+00;1.0719672238e+00;1.0711604452e+00;1.0744576304e+00;1.0756746836e+00;1.0779774665e+00;1.0790087972e+00;1.0813284721e+00;1.0822206762e+00;1.0845555064e+00;1.0864048132e+00;1.0884525121e+00;1.0873349874e+00;1.0915720060e+00;1.0948227784e+00;1.0950363133e+00;1.0980430269e+00;1.0991301008e+00
4.4000000000e-06;1.0664908132e+00;1.0670911914e+00;1.0686502902e+00;1.0700536919e+00;1.0720601583e+00;1.0739827968e+00;1.0753892065e+00;1.0754971501e+00;1.0774859519e+00;1.0805739215e+00;1.0811315307e+00;1.0859759586e+00;1.0861318457e+00;1.0882852956e+00;1.0898439081e+00;1.0920857938e+00;1.0936285105e+00;1.0951181764e+00;1.0970484439e+00;1.0967273351e+00
4.8000000000e-06;1.0663917743e+00;1.0676418059e+00;1.0683020434e+00;1.0706580707e+00;1.0714757913e+00;1.0745584640e+00;1.0748875979e+00;1.0742652045e+00;1.0765762030e+00;1.0791861579e+00;1.0794601313e+00;1.0825067760e+00;1.0851926638e+00;1.0869155811e+00;1.0876756017e+00;1.0912372712e+00;1.0924917866e+00;1.0930329938e+00;1.0955750124e+00;1.0964607414e+00
5.2000000000e-06;1.0659909762e+00;1.0665424011e+00;1.0680291808e+00;1.0694968921e+00;1.0701542088e+00;1.0730078114e+00;1.0742182197e+00;1.0745197534e+00;1.0766088313e+00;1.0785215936e+00;1.0805856751e+00;1.0844143545e+00;1.0849059121e+00;1.0873089962e+00;1.0874517622e+00;1.0904406226e+00;1.0927652259e+00;1.0918024027e+00;1.0951843731e+00;1.0959607209e+00
5.6000000000e-06;1.0660666766e+00;1.0662507228e+00;1.0670370355e+00;1.0692926642e+00;1.0699357233e+00;1.0726247046e+00;1.0725452207e+00;1.0745553585e+00;1.0764367572e+00;1.0791451271e+00;1.0787579625e+00;1.0831145364e+00;1.0845287300e+00;1.0846909818e+00;1.0877977482e+00;1.0907543249e+00;1.0925961480e+00;1.0919193539e+00;1.0954853141e+00;1.0940862915e+00
6.0000000000e-06;1.0654145296e+00;1.0656277393e+00;1.0667887104e+00;1.0693525807e+00;1.0692400024e+00;1.0736204061e+00;1.0731777678e+00;1.0745500152e+00;1.0757989351e+00;1.0793395090e+00;1.0790726001e+00;1.0829759068e+00;1.0834457726e+00;1.0847346228e+00;1.0868950139e+00;1.0876715144e+00;1.0893601893e+00;1.0914280921e+00;1.0936639597e+00;1.0946976150e+00
