;02_FL100_3_1_1_1;02_FL100_3_2_1_1;02_FL100_3_3_1_1;02_FL100_3_4_1_1;02_FL100_3_5_1_1;02_FL100_3_6_1_1;02_FL100_3_7_1_1;02_FL100_3_8_1_1;02_FL100_3_9_1_1;02_FL100_3_10_1_1;02_FL100_3_11_1_1;02_FL100_3_12_1_1;02_FL100_3_13_1_1;02_FL100_3_14_1_1;02_FL100_3_15_1_1;02_FL100_3_16_1_1;02_FL100_3_17_1_1;02_FL100_3_18_1_1;02_FL100_3_19_1_1;02_FL100_3_20_1_1
2.0000000000e-07;9.5070000622e-01;9.5078921715e-01;9.4302679883e-01;9.5539536906e-01;9.5243314297e-01;9.5354339831e-01;9.5424324339e-01;9.5754651255e-01;9.5865283717e-01;9.5818121245e-01;9.5677666276e-01;9.5553989283e-01;9.4835829586e-01;9.5917483871e-01;9.4926694069e-01;9.5305774214e-01;9.5814053995e-01;9.5733810323e-01;9.5920667408e-01;9.6018770761e-01
4.0000000000e-07;1.0397351799e+00;1.0389592005e+00;1.0303446550e+00;1.0453118957e+00;1.0403862506e+00;1.0441747198e+00;1.0456309843e+00;1.0477485559e+00;1.0488620157e+00;1.0494338276e+00;1.0486674621e+00;1.0437640984e+00;1.0375378972e+00;1.0471565913e+00;1.0402351093e+00;1.0446269678e+00;1.0501529211e+00;1.0482507227e+00;1.0489085256e+00;1.0508269610e+00
6.0000000000e-07;1.0399681909e+00;1.0398136563e+00;1.0306033453e+00;1.0442300463e+00;1.0409791598e+00;1.0437250528e+00;1.0436054056e+00;1.0478848755e+00;1.0493997771e+00;1.0479293887e+00;1.0492090032e+00;1.0440411918e+00;1.0366701914e+00;1.0473991931e+00;1.0402766048e+00;1.0436975902e+00;1.0487294309e+00;1.0483987857e+00;1.0489982449e+00;1.0497233832e+00
8.0000000000e-07;1.0409764827e+00;1.0383591286e+00;1.0288877894e+00;1.0429673874e+00;1.0392698938e+00;1.0434061581e+00;1.0433516599e+00;1.0462510737e+00;1.0475244064e+00;1.0496048196e+00;1.0476284575e+00;1.0421696267e+00;1.0363427252e+00;1.0468033699e+00;1.0368903942e+00;1.0426730451e+00;1.0475218770e+00;1.0478077679e+00;1.0472227763e+00;1.0489222828e+00
1.0000000000e-06;1.0412472955e+00;1.0408251721e+00;1.0308219446e+00;1.0448182671e+00;1.0410833772e+00;1.0445925305e+00;1.0441835962e+00;1.0483372987e+00;1.0490133952e+00;1.0501660735e+00;1.0497125548e+00;1.0444440157e+00;1.0367558433e+00;1.0486290868e+00;1.0397231862e+00;1.0446158422e+00;1.0474064002e+00;1.0489967452e+00;1.0489452874e+00;1.0504653002e+00
1.2000000000e-06;1.0398869871e+00;1.0386704831e+00;1.0290255460e+00;1.0413943326e+00;1.0379946287e+00;1.0410208801e+00;1.0419923733e+00;1.0470672975e+00;1.0457922539e+00;1.0468206218e+00;1.0452875702e+00;1.0429328316e+00;1.0365472022e+00;1.0463146196e+00;1.0384317970e+00;1.0427282892e+00;1.0460996851e+00;1.0477799779e+00;1.0466003800e+00;1.0496068141e+00
1.4000000000e-06;1.0393566876e+00;1.0392401182e+00;1.0300916528e+00;1.0426847031e+00;1.0395911085e+00;1.0442466732e+00;1.0428193465e+00;1.0468926669e+00;1.0480730315e+00;1.0479565741e+00;1.0470024758e+00;1.0436344075e+00;1.0362616472e+00;1.0465627352e+00;1.0389302953e+00;1.0438169582e+00;1.0471056423e+00;1.0474300472e+00;1.0477044340e+00;1.0482396968e+00
1.6000000000e-06;1.0398424631e+00;1.0383286855e+00;1.0287574049e+00;1.0440124408e+00;1.0397972841e+00;1.0424799194e+00;1.0441078897e+00;1.0475885780e+00;1.0465874080e+00;1.0488136262e+00;1.0473630135e+00;1.0435672714e+00;1.0362262877e+00;1.0476817564e+00;1.0394163030e+00;1.0437211344e+00;1.0475290280e+00;1.0482925128e+00;1.0482267461e+00;1.0492022685e+00
1.8000000000e-06;1.0387423149e+00;1.0374095101e+00;1.0291124327e+00;1.0417975818e+00;1.0392186014e+00;1.0414354995e+00;1.0425215468e+00;1.0458555578e+00;1.0469062791e+00;1.0470024649e+00;1.0458549756e+00;1.0416896494e+00;1.0352650877e+00;1.0464923866e+00;1.0381379434e+00;1.0417136625e+00;1.0473457041e+00;1.0468712947e+00;1.0464891700e+00;1.0493044496e+00
2.0000000000e-06;1.0409822698e+00;1.0389254138e+00;1.0305912212e+00;1.0440251478e+00;1.0381443985e+00;1.0439802350e+00;1.0439682894e+00;1.0459455095e+00;1.0490851096e+00;1.0483073860e+00;1.0479024864e+00;1.0442885258e+00;1.0374389357e+00;1.0474816246e+00;1.0390726937e+00;1.0432573179e+00;1.0478062751e+00;1.0475205152e+00;1.0485546139e+00;1.0489341704e+00
