;04_DBD_3_1_1_1;04_DBD_3_2_1_1;04_DBD_3_3_1_1;04_DBD_3_4_1_1;04_DBD_3_5_1_1;04_DBD_3_6_1_1;04_DBD_3_7_1_1;04_DBD_3_8_1_1;04_DBD_3_9_1_1;04_DBD_3_10_1_1;04_DBD_3_11_1_1;04_DBD_3_12_1_1;04_DBD_3_13_1_1;04_DBD_3_14_1_1;04_DBD_3_15_1_1;04_DBD_3_16_1_1;04_DBD_3_17_1_1;04_DBD_3_18_1_1;04_DBD_3_19_1_1;04_DBD_3_20_1_1
8.0000000000e-06;1.0216865496e+00;1.0217677853e+00;1.0226515159e+00;1.0228774750e+00;1.0220452181e+00;1.0220158364e+00;1.0225556710e+00;1.0225186138e+00;1.0223421078e+00;1.0222162917e+00;1.0217525348e+00;1.0224262994e+00;1.0219787054e+00;1.0225394612e+00;1.0229474956e+00;1.0222467686e+00;1.0219796063e+00;1.0225832338e+00;1.0221091012e+00;1.0220661720e+00
8.8000000000e-06;1.0210617945e+00;1.0210857501e+00;1.0221215017e+00;1.0222870891e+00;1.0218181332e+00;1.0223788397e+00;1.0220964497e+00;1.0217277093e+00;1.0217872366e+00;1.0220885692e+00;1.0214653828e+00;1.0221656551e+00;1.0219910026e+00;1.0227215367e+00;1.0222891361e+00;1.0217543014e+00;1.0214653005e+00;1.0221172212e+00;1.0218989005e+00;1.0213119830e+00
9.6000000000e-06;1.0211832928e+00;1.0210001288e+00;1.0217701961e+00;1.0216697667e+00;1.0211760244e+00;1.0213935666e+00;1.0216290067e+00;1.0215499885e+00;1.0215325706e+00;1.0216471966e+00;1.0215383879e+00;1.0214917032e+00;1.0216721721e+00;1.0221817082e+00;1.0222757306e+00;1.0215931561e+00;1.0213287598e+00;1.0217652195e+00;1.0213020480e+00;1.0214951732e+00
1.0400000000e-05;1.0209333347e+00;1.0207830789e+00;1.0216210045e+00;1.0212054388e+00;1.0214438868e+00;1.0214790936e+00;1.0218263546e+00;1.0216388909e+00;1.0209476641e+00;1.0211437320e+00;1.0212490308e+00;1.0213880944e+00;1.0217220895e+00;1.0216689961e+00;1.0222399032e+00;1.0216389266e+00;1.0213642099e+00;1.0216680428e+00;1.0212068843e+00;1.0208705133e+00
1.1200000000e-05;1.0213481523e+00;1.0208943109e+00;1.0214209022e+00;1.0214226731e+00;1.0212461737e+00;1.0216006091e+00;1.0211096941e+00;1.0211347372e+00;1.0211086894e+00;1.0214924130e+00;1.0210311172e+00;1.0216447258e+00;1.0214223870e+00;1.0219766792e+00;1.0218277117e+00;1.0208876966e+00;1.0212790351e+00;1.0211766815e+00;1.0209678722e+00;1.0211286430e+00
1.2000000000e-05;1.0208121815e+00;1.0205307002e+00;1.0216743498e+00;1.0215985771e+00;1.0214320868e+00;1.0213148854e+00;1.0211123157e+00;1.0213046784e+00;1.0210282772e+00;1.0209839279e+00;1.0210954932e+00;1.0210867146e+00;1.0213357440e+00;1.0210730175e+00;1.0218062403e+00;1.0214474154e+00;1.0207504150e+00;1.0216727644e+00;1.0213840221e+00;1.0214701836e+00
1.2800000000e-05;1.0205121203e+00;1.0200939593e+00;1.0208748681e+00;1.0210253158e+00;1.0205876842e+00;1.0210471120e+00;1.0210916699e+00;1.0208814754e+00;1.0212392879e+00;1.0208430317e+00;1.0207360742e+00;1.0207303059e+00;1.0209764371e+00;1.0210476188e+00;1.0215438988e+00;1.0209772062e+00;1.0209941573e+00;1.0213000987e+00;1.0209191527e+00;1.0206543843e+00
1.4400000000e-05;1.0202283248e+00;1.0202365970e+00;1.0207722364e+00;1.0208382848e+00;1.0205665768e+00;1.0208385107e+00;1.0208401684e+00;1.0205267937e+00;1.0204851332e+00;1.0202982965e+00;1.0205673290e+00;1.0206899267e+00;1.0206729392e+00;1.0210287946e+00;1.0213851201e+00;1.0204844626e+00;1.0204844972e+00;1.0209367368e+00;1.0208926359e+00;1.0202623220e+00
1.6000000000e-05;1.0199028283e+00;1.0198442775e+00;1.0204006217e+00;1.0202268252e+00;1.0205424305e+00;1.0204983763e+00;1.0202950296e+00;1.0204859434e+00;1.0202139820e+00;1.0201833559e+00;1.0203674045e+00;1.0205560117e+00;1.0206671765e+00;1.0207142949e+00;1.0211926386e+00;1.0205420871e+00;1.0203011884e+00;1.0207284090e+00;1.0203955577e+00;1.0203541148e+00
1.7600000000e-05;1.0195727006e+00;1.0194351189e+00;1.0199517515e+00;1.0200578465e+00;1.0196922589e+00;1.0203845664e+00;1.0199404034e+00;1.0198712827e+00;1.0198961242e+00;1.0201959803e+00;1.0198900709e+00;1.0203811586e+00;1.0197300890e+00;1.0207004993e+00;1.0209422366e+00;1.0200746042e+00;1.0200056483e+00;1.0200734291e+00;1.0197790827e+00;1.0201067107e+00
1.9200000000e-05;1.0190367469e+00;1.0189619513e+00;1.0201091004e+00;1.0199312174e+00;1.0199763706e+00;1.0201459967e+00;1.0198441651e+00;1.0198904475e+00;1.0197035665e+00;1.0197383707e+00;1.0194509358e+00;1.0201858980e+00;1.0197890118e+00;1.0201542761e+00;1.0203352512e+00;1.0196887338e+00;1.0196424988e+00;1.0202209542e+00;1.0200068189e+00;1.0199746550e+00
2.0800000000e-05;1.0189354565e+00;1.0189049310e+00;1.0197520200e+00;1.0198210264e+00;1.0194775159e+00;1.0200442925e+00;1.0196792430e+00;1.0194403987e+00;1.0195539979e+00;1.0194440121e+00;1.0193768386e+00;1.0197368073e+00;1.0193644983e+00;1.0198642032e+00;1.0201909580e+00;1.0193784037e+00;1.0193292427e+00;1.0197482038e+00;1.0195004144e+00;1.0193761532e+00
2.2400000000e-05;1.0190007591e+00;1.0186327331e+00;1.0196503483e+00;1.0195051811e+00;1.0190440593e+00;1.0196687329e+00;1.0193680331e+00;1.0189911655e+00;1.0192073340e+00;1.0188949039e+00;1.0188275174e+00;1.0195040209e+00;1.0195639174e+00;1.0197701223e+00;1.0198764277e+00;1.0189560328e+00;1.0193396100e+00;1.0195367623e+00;1.0191973003e+00;1.0190585560e+00
2.4000000000e-05;1.0184514865e+00;1.0185279009e+00;1.0193725746e+00;1.0190611821e+00;1.0193573897e+00;1.0191343488e+00;1.0192935690e+00;1.0189776560e+00;1.0192024740e+00;1.0191025131e+00;1.0190937762e+00;1.0195633262e+00;1.0191851236e+00;1.0193562518e+00;1.0197778665e+00;1.0191781988e+00;1.0189381564e+00;1.0193460065e+00;1.0190867254e+00;1.0190970250e+00
