;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
9.6000000000e-06;1.0586789677e+00;1.0593835350e+00;1.0590538557e+00;1.0598740383e+00;1.0600936518e+00;1.0595229406e+00;1.0595860367e+00;1.0600167176e+00;1.0610478180e+00;1.0604833245e+00
1.0400000000e-05;1.0563726299e+00;1.0572442088e+00;1.0580315485e+00;1.0575408588e+00;1.0583944384e+00;1.0578248210e+00;1.0593426501e+00;1.0587853822e+00;1.0595796777e+00;1.0593557576e+00
1.1200000000e-05;1.0559781952e+00;1.0559914310e+00;1.0567669769e+00;1.0566888500e+00;1.0576606818e+00;1.0583276654e+00;1.0571828220e+00;1.0571914702e+00;1.0572659179e+00;1.0562405619e+00
1.2000000000e-05;1.0550722518e+00;1.0560595619e+00;1.0563006034e+00;1.0555579849e+00;1.0570267528e+00;1.0559882052e+00;1.0570389421e+00;1.0560210927e+00;1.0557261882e+00;1.0563848372e+00
1.2800000000e-05;1.0530139501e+00;1.0545881689e+00;1.0545952234e+00;1.0547030292e+00;1.0554267245e+00;1.0550827913e+00;1.0545362924e+00;1.0555012815e+00;1.0552814176e+00;1.0549000913e+00
1.4400000000e-05;1.0516782942e+00;1.0524089827e+00;1.0526953719e+00;1.0525530107e+00;1.0531607935e+00;1.0527504312e+00;1.0537143818e+00;1.0528245585e+00;1.0527258110e+00;1.0525669798e+00
1.6000000000e-05;1.0492631166e+00;1.0506961068e+00;1.0506697878e+00;1.0501298437e+00;1.0510262779e+00;1.0509063868e+00;1.0509851846e+00;1.0508585330e+00;1.0512365931e+00;1.0505888731e+00
1.7600000000e-05;1.0480373735e+00;1.0485133154e+00;1.0482021168e+00;1.0486896920e+00;1.0492380332e+00;1.0479252800e+00;1.0487948938e+00;1.0489073026e+00;1.0495729087e+00;1.0489573727e+00
1.9200000000e-05;1.0459544632e+00;1.0463672944e+00;1.0466953582e+00;1.0466484679e+00;1.0479961964e+00;1.0466851007e+00;1.0475868035e+00;1.0472936318e+00;1.0471202651e+00;1.0470027272e+00
2.0800000000e-05;1.0443683897e+00;1.0446734280e+00;1.0456719679e+00;1.0450959099e+00;1.0460429992e+00;1.0452477801e+00;1.0461189828e+00;1.0460837624e+00;1.0460363231e+00;1.0462391459e+00
2.2400000000e-05;1.0430779905e+00;1.0437332428e+00;1.0435685532e+00;1.0436902120e+00;1.0440948113e+00;1.0435263147e+00;1.0435922838e+00;1.0439679638e+00;1.0439063548e+00;1.0442092936e+00
2.4000000000e-05;1.0422780261e+00;1.0423183978e+00;1.0430131287e+00;1.0423372978e+00;1.0432544039e+00;1.0422650578e+00;1.0428340425e+00;1.0425204461e+00;1.0430613740e+00;1.0425325890e+00
2.5600000000e-05;1.0406247879e+00;1.0410454188e+00;1.0412229927e+00;1.0407467344e+00;1.0420197169e+00;1.0414601937e+00;1.0411992460e+00;1.0412080781e+00;1.0410303648e+00;1.0406158038e+00
2.8800000000e-05;1.0383296509e+00;1.0385987310e+00;1.0389677003e+00;1.0391674049e+00;1.0391486553e+00;1.0389328282e+00;1.0390152231e+00;1.0388429194e+00;1.0393851786e+00;1.0392045858e+00
3.2000000000e-05;1.0363647016e+00;1.0365266383e+00;1.0366114555e+00;1.0365969805e+00;1.0371652741e+00;1.0369031144e+00;1.0372770610e+00;1.0373031755e+00;1.0372400307e+00;1.0370932449e+00
3.5200000000e-05;1.0342132932e+00;1.0349714793e+00;1.0348338760e+00;1.0343356265e+00;1.0349831306e+00;1.0350454542e+00;1.0352826459e+00;1.0348479192e+00;1.0351262616e+00;1.0352451853e+00
3.8400000000e-05;1.0327214131e+00;1.0332036644e+00;1.0330179411e+00;1.0330641102e+00;1.0338986096e+00;1.0331720104e+00;1.0334754838e+00;1.0334429298e+00;1.0334507827e+00;1.0333011155e+00
4.1600000000e-05;1.0314212327e+00;1.0317609611e+00;1.0319748375e+00;1.0317387923e+00;1.0316584750e+00;1.0318142758e+00;1.0316117810e+00;1.0319414443e+00;1.0314763561e+00;1.0316338592e+00
4.4800000000e-05;1.0294473171e+00;1.0300600351e+00;1.0305339456e+00;1.0300985460e+00;1.0308444174e+00;1.0302371853e+00;1.0305953269e+00;1.0299245014e+00;1.0307742720e+00;1.0305632655e+00
4.8000000000e-05;1.0285635517e+00;1.0287061517e+00;1.0290617034e+00;1.0288168629e+00;1.0292384280e+00;1.0285146789e+00;1.0294367994e+00;1.0291083170e+00;1.0294820615e+00;1.0295976363e+00
5.1200000000e-05;1.0271778233e+00;1.0275764376e+00;1.0277166330e+00;1.0274017037e+00;1.0282547237e+00;1.0280539244e+00;1.0280524952e+00;1.0279243892e+00;1.0282040797e+00;1.0277633620e+00
5.7600000000e-05;1.0253127191e+00;1.0261618416e+00;1.0256490438e+00;1.0255200856e+00;1.0260571172e+00;1.0259737328e+00;1.0261353235e+00;1.0257337512e+00;1.0264076163e+00;1.0260462927e+00
6.4000000000e-05;1.0233973517e+00;1.0237474448e+00;1.0238729732e+00;1.0240184095e+00;1.0242554172e+00;1.0242100032e+00;1.0241426983e+00;1.0241204972e+00;1.0245694762e+00;1.0242157775e+00
7.0400000000e-05;1.0217688082e+00;1.0223318850e+00;1.0222147401e+00;1.0222394809e+00;1.0225080940e+00;1.0227245890e+00;1.0230377019e+00;1.0225184465e+00;1.0228037880e+00;1.0225997221e+00
7.6800000000e-05;1.0204768078e+00;1.0209694718e+00;1.0207816289e+00;1.0210278560e+00;1.0213530629e+00;1.0210513620e+00;1.0214931276e+00;1.0211102320e+00;1.0214790766e+00;1.0213501274e+00
8.3200000000e-05;1.0197195000e+00;1.0196699972e+00;1.0199906659e+00;1.0195273169e+00;1.0201408734e+00;1.0196865644e+00;1.0203356408e+00;1.0198107730e+00;1.0201887931e+00;1.0200745448e+00
