;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
2.4576000000e-02;1.0001100232e+00;9.9997555350e-01;9.9990636223e-01;1.0000770176e+00;1.0000791831e+00;1.0000299037e+00;1.0000115763e+00;1.0000320814e+00;1.0000562251e+00;9.9999727911e-01
2.6214400000e-02;9.9999602642e-01;1.0000671112e+00;1.0000431551e+00;1.0001567102e+00;9.9996845380e-01;9.9997170342e-01;9.9997295562e-01;9.9997373305e-01;1.0000432147e+00;9.9999678623e-01
2.9491200000e-02;9.9995702417e-01;1.0001386332e+00;9.9995269844e-01;9.9999082758e-01;9.9995124307e-01;9.9991137245e-01;9.9999809701e-01;1.0000175344e+00;9.9996913223e-01;9.9988544977e-01
3.2768000000e-02;1.0000686179e+00;9.9998778209e-01;1.0000264098e+00;9.9993902256e-01;9.9990227719e-01;1.0000229862e+00;1.0000423113e+00;1.0000011020e+00;9.9989164306e-01;9.9991255151e-01
3.6044800000e-02;1.0000967409e+00;1.0000306696e+00;9.9998271506e-01;1.0001557692e+00;9.9999487701e-01;9.9993632749e-01;9.9985256858e-01;9.9995162836e-01;9.9995441874e-01;9.9996612599e-01
3.9321600000e-02;1.0001208026e+00;9.9998257179e-01;1.0001363554e+00;9.9995499474e-01;9.9999976032e-01;9.9994404436e-01;1.0000520594e+00;9.9992832310e-01;9.9995376137e-01;9.9999245377e-01
4.2598400000e-02;1.0001313748e+00;9.9994324803e-01;1.0000321946e+00;9.9999469601e-01;1.0000644326e+00;9.9996496941e-01;9.9998326354e-01;9.9995204663e-01;1.0000004394e+00;9.9997021086e-01
4.5875200000e-02;1.0000290337e+00;9.9998027008e-01;1.0000384339e+00;9.9996570480e-01;9.9996991169e-01;9.9998252881e-01;1.0000043055e+00;1.0000570487e+00;1.0000080048e+00;9.9998958437e-01
4.9152000000e-02;1.0000221680e+00;9.9994096070e-01;1.0000399639e+00;1.0000549231e+00;1.0000027716e+00;9.9992245653e-01;1.0000076066e+00;1.0000494005e+00;1.0000045002e+00;1.0001478512e+00
5.2428800000e-02;1.0000706872e+00;1.0000551878e+00;1.0000042963e+00;1.0000051646e+00;1.0001330173e+00;9.9997745808e-01;1.0000570788e+00;1.0000447479e+00;1.0000368060e+00;1.0000610333e+00
5.8982400000e-02;1.0000509041e+00;1.0000493984e+00;9.9999515942e-01;1.0000221430e+00;9.9993869425e-01;9.9998189170e-01;1.0000298454e+00;1.0000077623e+00;9.9994673516e-01;1.0000218469e+00
6.5536000000e-02;1.0000383538e+00;1.0000335959e+00;1.0000198705e+00;1.0000427560e+00;9.9998518795e-01;1.0000256188e+00;1.0000811532e+00;1.0000347627e+00;1.0000212656e+00;1.0000678222e+00
7.2089600000e-02;9.9999387637e-01;1.0000352058e+00;1.0000877573e+00;9.9997693912e-01;1.0000121228e+00;1.0000373536e+00;9.9994447590e-01;1.0000321036e+00;1.0000319195e+00;1.0000087825e+00
7.8643200000e-02;1.0000114881e+00;1.0000421698e+00;9.9992350844e-01;9.9993877166e-01;1.0000414836e+00;1.0000051376e+00;1.0000568676e+00;1.0000414455e+00;1.0000161888e+00;9.9998545812e-01
8.5196800000e-02;9.9996908655e-01;1.0000118097e+00;1.0000004272e+00;1.0000335817e+00;9.9997517654e-01;9.9987987349e-01;1.0000086761e+00;9.9999869572e-01;1.0000533787e+00;1.0000140715e+00
9.1750400000e-02;1.0000009655e+00;1.0000402903e+00;9.9996022303e-01;9.9993205991e-01;1.0000235676e+00;1.0000167940e+00;9.9997435766e-01;9.9992762598e-01;9.9998037038e-01;9.9993231489e-01
9.8304000000e-02;1.0000976850e+00;1.0000478391e+00;9.9998501476e-01;1.0000490369e+00;9.9996258113e-01;9.9989308417e-01;1.0000268630e+00;9.9995958565e-01;1.0000126037e+00;9.9995369550e-01
1.0485760000e-01;9.9992458539e-01;9.9990498493e-01;1.0000209708e+00;1.0000019232e+00;9.9997526383e-01;1.0000125858e+00;9.9995862471e-01;9.9997604470e-01;1.0000200287e+00;9.9997354915e-01
1.1796480000e-01;9.9997252617e-01;1.0000292786e+00;9.9997590624e-01;1.0000140216e+00;9.9998734239e-01;1.0000016897e+00;1.0000230661e+00;1.0000182633e+00;1.0000284964e+00;1.0000219315e+00
1.3107200000e-01;1.0000041771e+00;1.0000110679e+00;1.0000517070e+00;1.0000581125e+00;9.9997675578e-01;1.0000228977e+00;1.0000165278e+00;9.9996421563e-01;9.9999102778e-01;9.9999682488e-01
1.4417920000e-01;1.0000025763e+00;1.0000263580e+00;1.0000402164e+00;1.0000301424e+00;1.0000796893e+00;9.9998744362e-01;1.0000337614e+00;9.9995997975e-01;9.9998314600e-01;1.0000404663e+00
1.5728640000e-01;9.9995385009e-01;1.0000294037e+00;1.0000038260e+00;9.9999414459e-01;9.9998802014e-01;9.9998190032e-01;9.9997867532e-01;9.9998592533e-01;1.0000371490e+00;9.9996286116e-01
1.7039360000e-01;9.9997322079e-01;9.9996989351e-01;1.0000201037e+00;9.9992053883e-01;1.0000002654e+00;1.0000000623e+00;1.0000101343e+00;9.9998879988e-01;9.9998694022e-01;1.0000031748e+00
1.8350080000e-01;1.0000425022e+00;9.9997849462e-01;9.9998931538e-01;9.9999612187e-01;9.9999834359e-01;1.0000321486e+00;1.0000134589e+00;1.0000521656e+00;1.0000231251e+00;9.9996869564e-01
1.9660800000e-01;1.0000157553e+00;9.9999783631e-01;1.0000189110e+00;9.9999301423e-01;9.9998763084e-01;9.9998505407e-01;9.9998516331e-01;1.0000102163e+00;1.0000172163e+00;1.0000141354e+00
2.0971520000e-01;1.0000192929e+00;1.0000105337e+00;1.0000178982e+00;1.0000009647e+00;9.9998585495e-01;9.9996169994e-01;1.0000115104e+00;9.9999134498e-01;1.0000046372e+00;1.0000197976e+00
2.3592960000e-01;1.0000002956e+00;1.0000192305e+00;1.0000133557e+00;1.0000086741e+00;9.9999569137e-01;9.9997641597e-01;1.0000181701e+00;1.0000369753e+00;1.0000426948e+00;1.0000313186e+00
2.6214400000e-01;1.0000120389e+00;9.9999864641e-01;1.0000018569e+00;9.9999353376e-01;9.9997033921e-01;9.9996590688e-01;9.9998329785e-01;9.9998466546e-01;1.0000221603e+00;1.0000122296e+00
2.8835840000e-01;9.9999423193e-01;1.0000269696e+00;9.9997329594e-01;9.9998835994e-01;9.9999487478e-01;1.0000110960e+00;1.0000495160e+00;9.9996121927e-01;1.0000353337e+00;1.0000226035e+00
3.1457280000e-01;9.9997849468e-01;9.9997780004e-01;1.0000068694e+00;1.0000096787e+00;1.0000142934e+00;1.0000298275e+00;1.0000210507e+00;9.9997639965e-01;1.0000031948e+00;1.0000009940e+00
3.4078720000e-01;9.9996556780e-01;1.0000384494e+00;1.0000071022e+00;1.0000246262e+00;1.0000162754e+00;1.0000047164e+00;1.0000159692e+00;9.9999213711e-01;1.0000030602e+00;1.0000127544e+00
3.6700160000e-01;9.9995919725e-01;1.0000635373e+00;1.0000217923e+00;9.9998113316e-01;9.9998870085e-01;9.9998010576e-01;1.0000294528e+00;9.9994049548e-01;1.0000265211e+00;1.0000228302e+00
3.9321600000e-01;9.9999656455e-01;1.0000140008e+00;9.9995754647e-01;1.0000132687e+00;9.9999347265e-01;9.9999711761e-01;1.0000311152e+00;1.0000017981e+00;9.9998890573e-01;9.9997738924e-01
4.1943040000e-01;1.0000129743e+00;9.9997013904e-01;9.9996451004e-01;9.9998775831e-01;1.0000349898e+00;9.9998983761e-01;1.0000257771e+00;9.9999563164e-01;1.0000176486e+00;9.9999913231e-01
4.7185920000e-01;1.0000057134e+00;1.0000417423e+00;9.9998658409e-01;1.0000279509e+00;9.9996180835e-01;1.0000003224e+00;9.9997195338e-01;1.0000242276e+00;1.0000093266e+00;1.0000115651e+00
5.2428800000e-01;1.0000032668e+00;9.9999836039e-01;1.0000225730e+00;1.0000512357e+00;1.0000050605e+00;9.9997775464e-01;1.0000030756e+00;1.0000021662e+00;9.9998400317e-01;1.0000028318e+00
5.7671680000e-01;1.0000239021e+00;1.0000163193e+00;1.0000144080e+00;9.9998898704e-01;1.0000134189e+00;1.0000121201e+00;9.9998101610e-01;9.9999196927e-01;9.9996187178e-01;1.0000106641e+00
6.2914560000e-01;1.0000066534e+00;1.0000193005e+00;9.9997733386e-01;9.9996837745e-01;1.0000093212e+00;9.9999380766e-01;9.9999382569e-01;1.0000068016e+00;1.0000240847e+00;1.0000174958e+00
6.8157440000e-01;1.0000255991e+00;9.9999008120e-01;1.0000179402e+00;9.9999418452e-01;1.0000509148e+00;1.0000178594e+00;1.0000122540e+00;1.0000132004e+00;9.9998960546e-01;9.9998666650e-01
7.3400320000e-01;1.0000070167e+00;1.0000264638e+00;9.9999705360e-01;9.9999712455e-01;1.0000403342e+00;9.9998285676e-01;1.0000032826e+00;9.9999017935e-01;9.9998034034e-01;9.9996619777e-01
7.8643200000e-01;9.9999866860e-01;9.9998177916e-01;1.0000423927e+00;9.9997880269e-01;9.9999138552e-01;9.9998762995e-01;1.0000207959e+00;9.9996345094e-01;9.9998328531e-01;1.0000127654e+00
8.3886080000e-01;9.9999471814e-01;1.0000125750e+00;9.9997204074e-01;1.0000053754e+00;1.0000006863e+00;9.9999693032e-01;1.0000126982e+00;9.9999612109e-01;9.9997840819e-01;9.9998434938e-01
9.4371840000e-01;1.0000150085e+00;9.9999453943e-01;1.0000233194e+00;1.0000112534e+00;9.9999635472e-01;9.9998652028e-01;9.9998695514e-01;1.0000223068e+00;1.0000078187e+00;9.9999082626e-01
1.0485760000e+00;9.9998764081e-01;9.9998813309e-01;9.9999691640e-01;1.0000191015e+00;9.9999446650e-01;9.9999520416e-01;1.0000123070e+00;9.9999760892e-01;1.0000035563e+00;9.9999339871e-01
1.1534336000e+00;1.0000075358e+00;1.0000173256e+00;1.0000049010e+00;9.9998640134e-01;1.0000149592e+00;1.0000064083e+00;9.9999777817e-01;1.0000092409e+00;1.0000269526e+00;1.0000206902e+00
1.2582912000e+00;1.0000092580e+00;1.0000121293e+00;9.9999703341e-01;9.9999742268e-01;1.0000140976e+00;1.0000063861e+00;9.9998970624e-01;9.9996501171e-01;1.0000104034e+00;1.0000072411e+00
1.3631488000e+00;1.0000183188e+00;1.0000169484e+00;9.9998805379e-01;1.0000178698e+00;1.0000069023e+00;1.0000055482e+00;1.0000024454e+00;1.0000003461e+00;1.0000068431e+00;1.0000104293e+00
1.4680064000e+00;1.0000098294e+00;1.0000346990e+00;9.9998808132e-01;9.9998766460e-01;1.0000029552e+00;1.0000076208e+00;1.0000128315e+00;9.9998187919e-01;1.0000158677e+00;1.0000174589e+00
1.5728640000e+00;9.9998794138e-01;1.0000007815e+00;1.0000023643e+00;1.0000096878e+00;1.0000144966e+00;1.0000045338e+00;1.0000002477e+00;9.9998592511e-01;1.0000179322e+00;9.9998171890e-01
1.6777216000e+00;9.9999950408e-01;9.9998056477e-01;1.0000341843e+00;1.0000160810e+00;9.9996151997e-01;1.0000002592e+00;9.9996196808e-01;1.0000004704e+00;1.0000032584e+00;9.9998697056e-01
1.8874368000e+00;9.9999727889e-01;1.0000065995e+00;9.9998451056e-01;1.0000018230e+00;1.0000153651e+00;1.0000105730e+00;1.0000123439e+00;1.0000003023e+00;9.9999652845e-01;9.9999604866e-01
2.0971520000e+00;1.0000176492e+00;1.0000135713e+00;1.0000153746e+00;1.0000039171e+00;1.0000163142e+00;1.0000043036e+00;1.0000236795e+00;9.9999564738e-01;9.9999517767e-01;9.9999030848e-01
2.3068672000e+00;1.0000120815e+00;9.9999691435e-01;1.0000090683e+00;9.9999797351e-01;1.0000141496e+00;9.9998985194e-01;1.0000043248e+00;9.9999058258e-01;9.9999274255e-01;9.9999882124e-01
2.5165824000e+00;9.9999801661e-01;9.9999528490e-01;1.0000004278e+00;9.9999727591e-01;1.0000063731e+00;1.0000078470e+00;9.9999740191e-01;1.0000086938e+00;1.0000006257e+00;1.0000178813e+00
2.7262976000e+00;9.9999481176e-01;1.0000019807e+00;9.9997366724e-01;9.9999193048e-01;9.9999160021e-01;1.0000033953e+00;1.0000099855e+00;1.0000002539e+00;9.9999418410e-01;9.9999437322e-01
2.9360128000e+00;1.0000002495e+00;1.0000165804e+00;9.9999927787e-01;1.0000090494e+00;1.0000087386e+00;9.9999517240e-01;1.0000184405e+00;1.0000038870e+00;1.0000039035e+00;9.9999793316e-01
3.1457280000e+00;9.9999956269e-01;1.0000097795e+00;9.9999251964e-01;1.0000023689e+00;1.0000047013e+00;9.9999418258e-01;1.0000059969e+00;1.0000035574e+00;1.0000036880e+00;9.9999934255e-01
3.3554432000e+00;1.0000058483e+00;1.0000032878e+00;1.0000224980e+00;1.0000128174e+00;9.9998998451e-01;9.9999974145e-01;1.0000041344e+00;9.9999912781e-01;1.0000058976e+00;1.0000073316e+00
3.7748736000e+00;1.0000042755e+00;9.9999545561e-01;9.9999653407e-01;9.9999731379e-01;1.0000014251e+00;1.0000076621e+00;9.9998317563e-01;9.9999553428e-01;9.9999462713e-01;1.0000042497e+00
4.1943040000e+00;1.0000038154e+00;1.0000033796e+00;9.9999706243e-01;1.0000039118e+00;9.9999640776e-01;9.9999912823e-01;1.0000024706e+00;9.9999824442e-01;1.0000086067e+00;9.9999410797e-01
4.6137344000e+00;1.0000069184e+00;9.9999991287e-01;1.0000090457e+00;1.0000169288e+00;1.0000002664e+00;1.0000004075e+00;9.9999743032e-01;1.0000127401e+00;9.9999595140e-01;9.9999915896e-01
5.0331648000e+00;9.9999178841e-01;1.0000040882e+00;9.9999378464e-01;9.9998583925e-01;9.9999388706e-01;1.0000010635e+00;9.9999073052e-01;9.9999940294e-01;9.9999857320e-01;1.0000007834e+00
5.4525952000e+00;9.9999985721e-01;1.0000066955e+00;1.0000073944e+00;9.9998599791e-01;9.9999493567e-01;9.9999983750e-01;1.0000132041e+00;9.9998619413e-01;1.0000009712e+00;9.9998842403e-01
5.8720256000e+00;1.0000001133e+00;1.0000010678e+00;1.0000012250e+00;1.0000019896e+00;9.9998812822e-01;1.0000005266e+00;9.9999239855e-01;9.9999461776e-01;9.9999885185e-01;1.0000077283e+00
6.2914560000e+00;1.0000106207e+00;1.0000214940e+00;1.0000146772e+00;1.0000030952e+00;9.9999986855e-01;1.0000040583e+00;9.9999543189e-01;1.0000043346e+00;9.9998962490e-01;1.0000003842e+00
6.7108864000e+00;1.0000022406e+00;9.9998391950e-01;1.0000117116e+00;1.0000055657e+00;9.9999345395e-01;9.9999992088e-01;1.0000034397e+00;1.0000005354e+00;9.9997592596e-01;1.0000003705e+00
7.5497472000e+00;1.0000040056e+00;9.9999014293e-01;9.9999902608e-01;1.0000024504e+00;9.9999476329e-01;9.9999975392e-01;9.9999768467e-01;1.0000100167e+00;9.9999387654e-01;9.9999501259e-01
8.3886080000e+00;1.0000019049e+00;9.9999796370e-01;1.0000077880e+00;9.9998619699e-01;9.9999330783e-01;9.9999396919e-01;1.0000000827e+00;9.9999281877e-01;1.0000027185e+00;9.9998719795e-01
9.2274688000e+00;9.9999519865e-01;9.9999519985e-01;1.0000054694e+00;9.9999604971e-01;9.9999140319e-01;1.0000085139e+00;9.9999851910e-01;1.0000082540e+00;9.9999763577e-01;9.9999564617e-01
1.0066329600e+01;1.0000017941e+00;9.9999112936e-01;9.9999659908e-01;9.9998435265e-01;1.0000022006e+00;1.0000055717e+00;9.9998624183e-01;9.9998716776e-01;9.9999611148e-01;9.9999071911e-01
1.0905190400e+01;1.0000051994e+00;1.0000073486e+00;9.9998808347e-01;1.0000103524e+00;1.0000079613e+00;9.9999231998e-01;9.9998887283e-01;1.0000023475e+00;1.0000064490e+00;9.9999808076e-01
1.1744051200e+01;9.9999572358e-01;9.9998434827e-01;1.0000025352e+00;9.9999005178e-01;9.9999977302e-01;1.0000005953e+00;9.9999877473e-01;1.0000073817e+00;1.0000033469e+00;9.9999933921e-01
1.2582912000e+01;1.0000014939e+00;1.0000013176e+00;9.9999216674e-01;1.0000037780e+00;1.0000084817e+00;9.9999913911e-01;9.9998941790e-01;9.9999343379e-01;9.9999846209e-01;1.0000087168e+00
1.3421772800e+01;1.0000036064e+00;9.9999331674e-01;9.9999616124e-01;9.9998684792e-01;1.0000109932e+00;1.0000032692e+00;9.9998650254e-01;1.0000034722e+00;1.0000135643e+00;9.9998945053e-01
1.5099494400e+01;9.9999206725e-01;1.0000050834e+00;1.0000096543e+00;1.0000037023e+00;1.0000029746e+00;9.9999870094e-01;1.0000030716e+00;9.9999398937e-01;1.0000034309e+00;1.0000048191e+00
1.6777216000e+01;9.9999293639e-01;1.0000097236e+00;9.9998818932e-01;9.9999464449e-01;1.0000021946e+00;9.9999668688e-01;1.0000056381e+00;9.9999331071e-01;9.9999251922e-01;1.0000052966e+00
1.8454937600e+01;9.9999019438e-01;1.0000022060e+00;9.9999276533e-01;1.0000145721e+00;9.9999032108e-01;9.9999325084e-01;9.9999983655e-01;1.0000056054e+00;9.9999458426e-01;1.0000032560e+00
2.0132659200e+01;9.9998331362e-01;1.0000075833e+00;9.9998585747e-01;9.9999959715e-01;9.9999543807e-01;9.9999478724e-01;1.0000104947e+00;1.0000088795e+00;9.9997910715e-01;1.0000083267e+00
2.1810380800e+01;9.9999621542e-01;9.9999254843e-01;9.9999624055e-01;1.0000144200e+00;9.9999506052e-01;9.9999120528e-01;1.0000010812e+00;9.9998510303e-01;9.9999535131e-01;9.9999080700e-01
2.3488102400e+01;9.9999774284e-01;9.9996725196e-01;1.0000008945e+00;9.9998943190e-01;1.0000024065e+00;9.9999571397e-01;1.0000129783e+00;9.9999495404e-01;1.0000067591e+00;9.9999549555e-01
2.5165824000e+01;1.0000099929e+00;9.9997441119e-01;9.9997593221e-01;9.9999880035e-01;9.9997736862e-01;9.9999694333e-01;9.9997904398e-01;1.0000104090e+00;1.0000036528e+00;9.9998019883e-01
2.6843545600e+01;9.9997353233e-01;9.9995927980e-01;1.0000049848e+00;9.9997292896e-01;9.9998664675e-01;1.0000012152e+00;1.0000021929e+00;9.9999530818e-01;1.0000128617e+00;9.9999197870e-01
