;05_DP_2_1_1_1;05_DP_2_2_1_1;05_DP_2_3_1_1;05_DP_2_4_1_1;05_DP_2_5_1_1;05_DP_2_6_1_1;05_DP_2_7_1_1;05_DP_2_8_1_1;05_DP_2_9_1_1;05_DP_2_10_1_1;05_DP_2_11_1_1;05_DP_2_12_1_1;05_DP_2_13_1_1;05_DP_2_14_1_1;05_DP_2_15_1_1;05_DP_2_16_1_1;05_DP_2_17_1_1;05_DP_2_18_1_1;05_DP_2_19_1_1;05_DP_2_20_1_1
2.0000000000e-07;1.0080855112e+00;1.0095963054e+00;1.0094275920e+00;1.0096677042e+00;1.0112566534e+00;1.0127896477e+00;1.0160619558e+00;1.0152749704e+00;1.0156774062e+00;1.0151955185e+00;1.0181786792e+00;1.0184534777e+00;1.0165253310e+00;1.0152911852e+00;1.0171203116e+00;1.0190693977e+00;1.0207745176e+00;1.0157451027e+00;1.0173850006e+00;1.0192838591e+00
4.0000000000e-07;1.0993764921e+00;1.1031750260e+00;1.1057992916e+00;1.1079318944e+00;1.1069516487e+00;1.1106193629e+00;1.1112499848e+00;1.1120887095e+00;1.1135345076e+00;1.1128155400e+00;1.1144183537e+00;1.1113889293e+00;1.1144457514e+00;1.1132792993e+00;1.1145237941e+00;1.1148821505e+00;1.1164595799e+00;1.1150547934e+00;1.1154120584e+00;1.1157871880e+00
6.0000000000e-07;1.0999267751e+00;1.1020202351e+00;1.1027587771e+00;1.1061657495e+00;1.1059983785e+00;1.1103750218e+00;1.1095231732e+00;1.1098373309e+00;1.1102550975e+00;1.1141555428e+00;1.1128083665e+00;1.1108868585e+00;1.1139709044e+00;1.1132020727e+00;1.1137117624e+00;1.1133045901e+00;1.1155901013e+00;1.1114228639e+00;1.1132012600e+00;1.1143349232e+00
8.0000000000e-07;1.0988093589e+00;1.1013331184e+00;1.1023392923e+00;1.1062180737e+00;1.1039941493e+00;1.1070605547e+00;1.1089563414e+00;1.1111312355e+00;1.1067691479e+00;1.1109363066e+00;1.1096445228e+00;1.1092381362e+00;1.1102507639e+00;1.1113652003e+00;1.1116288773e+00;1.1129942992e+00;1.1135894799e+00;1.1125641794e+00;1.1112880683e+00;1.1126288386e+00
1.0000000000e-06;1.1006596186e+00;1.1012137939e+00;1.1051871771e+00;1.1043850625e+00;1.1059983667e+00;1.1084172925e+00;1.1091654106e+00;1.1106831561e+00;1.1092160822e+00;1.1099718155e+00;1.1095162315e+00;1.1120756070e+00;1.1115901375e+00;1.1118235896e+00;1.1112015069e+00;1.1167405772e+00;1.1162012048e+00;1.1127459335e+00;1.1106471673e+00;1.1113179657e+00
1.2000000000e-06;1.0980777865e+00;1.0997874502e+00;1.1029927544e+00;1.1036830597e+00;1.1045403401e+00;1.1077677494e+00;1.1073487741e+00;1.1071598776e+00;1.1089921939e+00;1.1097456356e+00;1.1112753388e+00;1.1114245363e+00;1.1127330252e+00;1.1090797849e+00;1.1107278193e+00;1.1103323683e+00;1.1110207970e+00;1.1097788195e+00;1.1094650145e+00;1.1120239149e+00
1.4000000000e-06;1.0983199077e+00;1.0981157068e+00;1.1017471530e+00;1.1042674060e+00;1.1040725834e+00;1.1047249345e+00;1.1083802056e+00;1.1071238132e+00;1.1072121652e+00;1.1087362100e+00;1.1104366673e+00;1.1075473967e+00;1.1124923240e+00;1.1091767156e+00;1.1115282861e+00;1.1121646774e+00;1.1118538289e+00;1.1117421484e+00;1.1112064983e+00;1.1127200022e+00
1.6000000000e-06;1.0983963872e+00;1.0984640565e+00;1.1014075689e+00;1.1032194433e+00;1.1036536741e+00;1.1062698561e+00;1.1065883483e+00;1.1109599454e+00;1.1073572099e+00;1.1093909629e+00;1.1104831649e+00;1.1120578776e+00;1.1114034583e+00;1.1086838117e+00;1.1100907304e+00;1.1112469847e+00;1.1138660317e+00;1.1101210404e+00;1.1115123791e+00;1.1093094650e+00
1.8000000000e-06;1.0952462313e+00;1.0956374330e+00;1.1016215829e+00;1.1040363676e+00;1.1021319979e+00;1.1062091458e+00;1.1053261481e+00;1.1068801123e+00;1.1049370666e+00;1.1104293660e+00;1.1077346450e+00;1.1080640260e+00;1.1077276309e+00;1.1091471300e+00;1.1101600438e+00;1.1095012170e+00;1.1096478404e+00;1.1101374093e+00;1.1088257369e+00;1.1107553163e+00
2.0000000000e-06;1.0995151727e+00;1.0979922559e+00;1.1031867754e+00;1.1039113511e+00;1.1022222856e+00;1.1052181402e+00;1.1065016091e+00;1.1097179053e+00;1.1053974387e+00;1.1078873556e+00;1.1082286406e+00;1.1090051936e+00;1.1103786524e+00;1.1105190236e+00;1.1091994707e+00;1.1123476684e+00;1.1109611526e+00;1.1095249871e+00;1.1076205874e+00;1.1109358392e+00
2.2000000000e-06;1.0957435140e+00;1.0968676375e+00;1.1028757273e+00;1.1004299433e+00;1.1020254099e+00;1.1039099540e+00;1.1024114739e+00;1.1063628507e+00;1.1037293511e+00;1.1075583656e+00;1.1083232452e+00;1.1073500963e+00;1.1079782426e+00;1.1068600714e+00;1.1090624767e+00;1.1079221213e+00;1.1110705564e+00;1.1085899819e+00;1.1055226177e+00;1.1082588021e+00
2.4000000000e-06;1.0947491036e+00;1.0991593724e+00;1.1023221234e+00;1.1017063070e+00;1.1011875971e+00;1.1030691919e+00;1.1054779034e+00;1.1065876677e+00;1.1072279022e+00;1.1090925493e+00;1.1088315701e+00;1.1080772748e+00;1.1078587078e+00;1.1047685349e+00;1.1084139448e+00;1.1083973415e+00;1.1083594513e+00;1.1080168591e+00;1.1080653505e+00;1.1088312841e+00
2.6000000000e-06;1.0962782535e+00;1.0980539547e+00;1.1006969934e+00;1.1002018121e+00;1.1024635444e+00;1.1010856690e+00;1.1044913726e+00;1.1038646326e+00;1.1056323399e+00;1.1055042087e+00;1.1062193533e+00;1.1063168024e+00;1.1079323841e+00;1.1081695254e+00;1.1084205407e+00;1.1090603659e+00;1.1100271772e+00;1.1092334986e+00;1.1087226957e+00;1.1074375690e+00
2.8000000000e-06;1.0950456927e+00;1.0967661302e+00;1.0988606971e+00;1.1004518276e+00;1.1005570098e+00;1.1031010499e+00;1.1015720581e+00;1.1039400917e+00;1.1042417403e+00;1.1062505381e+00;1.1062530223e+00;1.1049061559e+00;1.1089426438e+00;1.1053879316e+00;1.1111025309e+00;1.1098050442e+00;1.1082418537e+00;1.1066053421e+00;1.1058006882e+00;1.1075351462e+00
3.0000000000e-06;1.0934595597e+00;1.0970103425e+00;1.1020210511e+00;1.1018080421e+00;1.1001810269e+00;1.1048039030e+00;1.1054422655e+00;1.1057182302e+00;1.1038885678e+00;1.1078954531e+00;1.1064903443e+00;1.1050860250e+00;1.1096581744e+00;1.1089006457e+00;1.1086565446e+00;1.1087076090e+00;1.1101447513e+00;1.1078188106e+00;1.1083042800e+00;1.1073611170e+00
3.2000000000e-06;1.0928561781e+00;1.0943057805e+00;1.0968304472e+00;1.0988456717e+00;1.0994438694e+00;1.1035124105e+00;1.1034351382e+00;1.1038771923e+00;1.1022662026e+00;1.1039973859e+00;1.1069601837e+00;1.1031020526e+00;1.1067108785e+00;1.1040275212e+00;1.1052136809e+00;1.1069602082e+00;1.1082501226e+00;1.1050007067e+00;1.1055589781e+00;1.1051801275e+00
