;04_DM100_1_1_1_1;04_DM100_1_2_1_1;04_DM100_1_3_1_1;04_DM100_1_4_1_1;04_DM100_1_5_1_1;04_DM100_1_6_1_1;04_DM100_1_7_1_1;04_DM100_1_8_1_1;04_DM100_1_9_1_1;04_DM100_1_10_1_1;04_DM100_1_11_1_1;04_DM100_1_12_1_1;04_DM100_1_13_1_1;04_DM100_1_14_1_1;04_DM100_1_15_1_1;04_DM100_1_16_1_1;04_DM100_1_17_1_1;04_DM100_1_18_1_1;04_DM100_1_19_1_1;04_DM100_1_20_1_1
2.0000000000e-07;9.4218259835e-01;9.4264497074e-01;9.4229849669e-01;9.4271633176e-01;9.4202108025e-01;9.4236449992e-01;9.4204004128e-01;9.4241163040e-01;9.4273277875e-01;9.4215401627e-01;9.4260613794e-01;9.4284760702e-01;9.4218699362e-01;9.4184287793e-01;9.4267734578e-01;9.4218245919e-01;9.4289101793e-01;9.4258423525e-01;9.4193196499e-01;9.4243014071e-01
4.0000000000e-07;1.0243393323e+00;1.0252477585e+00;1.0247115240e+00;1.0249444916e+00;1.0245035689e+00;1.0250340455e+00;1.0247679291e+00;1.0248756266e+00;1.0247110701e+00;1.0249865129e+00;1.0246914498e+00;1.0247184778e+00;1.0247925429e+00;1.0256231894e+00;1.0256999039e+00;1.0249302467e+00;1.0248972023e+00;1.0254489790e+00;1.0249845427e+00;1.0251865378e+00
6.0000000000e-07;1.0242130431e+00;1.0247152271e+00;1.0244167178e+00;1.0242073498e+00;1.0243734332e+00;1.0246177514e+00;1.0245813443e+00;1.0244782707e+00;1.0251312956e+00;1.0252001249e+00;1.0247206359e+00;1.0249497057e+00;1.0246666085e+00;1.0252132309e+00;1.0254489057e+00;1.0243161346e+00;1.0245995579e+00;1.0251588067e+00;1.0254713411e+00;1.0246794763e+00
8.0000000000e-07;1.0235965166e+00;1.0237296862e+00;1.0233918185e+00;1.0239608943e+00;1.0242522481e+00;1.0242718815e+00;1.0231981594e+00;1.0238161235e+00;1.0241557941e+00;1.0242740546e+00;1.0238191589e+00;1.0240189106e+00;1.0244766482e+00;1.0234645975e+00;1.0236140357e+00;1.0239715383e+00;1.0239663840e+00;1.0242313826e+00;1.0229674265e+00;1.0239944893e+00
1.0000000000e-06;1.0249264213e+00;1.0253011609e+00;1.0250363329e+00;1.0252538121e+00;1.0250701064e+00;1.0257672117e+00;1.0250324194e+00;1.0256688882e+00;1.0258677309e+00;1.0252698394e+00;1.0253634059e+00;1.0257423712e+00;1.0252205569e+00;1.0250290724e+00;1.0258058350e+00;1.0255423349e+00;1.0248349867e+00;1.0259241792e+00;1.0252775257e+00;1.0252193745e+00
1.2000000000e-06;1.0234021647e+00;1.0238149522e+00;1.0238246492e+00;1.0236934592e+00;1.0238374053e+00;1.0234357049e+00;1.0239945784e+00;1.0236688198e+00;1.0240614361e+00;1.0234342552e+00;1.0233152724e+00;1.0236227452e+00;1.0236433066e+00;1.0235385510e+00;1.0243372230e+00;1.0230396898e+00;1.0240569732e+00;1.0233866070e+00;1.0235453201e+00;1.0238977502e+00
1.4000000000e-06;1.0236156749e+00;1.0242556236e+00;1.0242924955e+00;1.0245100520e+00;1.0240692355e+00;1.0241586565e+00;1.0237765048e+00;1.0245415920e+00;1.0241080452e+00;1.0239000632e+00;1.0238739979e+00;1.0237740980e+00;1.0244393032e+00;1.0238268048e+00;1.0240133560e+00;1.0245023151e+00;1.0246646149e+00;1.0247920205e+00;1.0240692434e+00;1.0244784004e+00
1.6000000000e-06;1.0236444545e+00;1.0241986855e+00;1.0236400470e+00;1.0239795721e+00;1.0243623996e+00;1.0239412756e+00;1.0231870479e+00;1.0244329074e+00;1.0245698748e+00;1.0242000224e+00;1.0234947372e+00;1.0240247239e+00;1.0241384048e+00;1.0244038420e+00;1.0249326957e+00;1.0241110649e+00;1.0242604622e+00;1.0243414601e+00;1.0239636219e+00;1.0247167154e+00
1.8000000000e-06;1.0224876568e+00;1.0231670154e+00;1.0227247789e+00;1.0235917140e+00;1.0233262017e+00;1.0226841835e+00;1.0229546231e+00;1.0233002187e+00;1.0231194544e+00;1.0234532481e+00;1.0226524574e+00;1.0233728934e+00;1.0232942578e+00;1.0234063504e+00;1.0242566084e+00;1.0233374399e+00;1.0229595781e+00;1.0230013309e+00;1.0232478816e+00;1.0230015110e+00
2.0000000000e-06;1.0241858289e+00;1.0245318990e+00;1.0252401466e+00;1.0247136296e+00;1.0246415084e+00;1.0247479637e+00;1.0245670235e+00;1.0252455517e+00;1.0243365595e+00;1.0243721337e+00;1.0248297233e+00;1.0247216550e+00;1.0248956573e+00;1.0244075969e+00;1.0244748833e+00;1.0247058308e+00;1.0248512715e+00;1.0247277048e+00;1.0247637871e+00;1.0248202984e+00
