;02_FL100_1_1_1_1;02_FL100_1_2_1_1;02_FL100_1_3_1_1;02_FL100_1_4_1_1;02_FL100_1_5_1_1;02_FL100_1_6_1_1;02_FL100_1_7_1_1;02_FL100_1_8_1_1;02_FL100_1_9_1_1;02_FL100_1_10_1_1;02_FL100_1_11_1_1;02_FL100_1_12_1_1;02_FL100_1_13_1_1;02_FL100_1_14_1_1;02_FL100_1_15_1_1;02_FL100_1_16_1_1;02_FL100_1_17_1_1;02_FL100_1_18_1_1;02_FL100_1_19_1_1;02_FL100_1_20_1_1
1.4417920000e-01;1.0037548029e+00;1.0001181718e+00;9.9993068809e-01;1.0090165594e+00;1.0195011449e+00;1.0002077533e+00;1.0002517831e+00;1.0018946192e+00;1.0277808383e+00;1.0007643022e+00;1.0035359677e+00;1.0054943866e+00;9.9994983709e-01;1.0019534979e+00;1.0028071356e+00;1.0002050156e+00;9.9996109651e-01;1.0393190604e+00;1.0427974694e+00;1.0281673338e+00
1.5728640000e-01;1.0034761435e+00;1.0000711431e+00;9.9979211232e-01;1.0089753933e+00;1.0193964105e+00;1.0002795991e+00;1.0000313644e+00;1.0019779686e+00;1.0276688566e+00;1.0008184650e+00;1.0035597253e+00;1.0056328410e+00;1.0000530419e+00;1.0019701872e+00;1.0028478145e+00;1.0000499314e+00;1.0001463386e+00;1.0392112044e+00;1.0427159275e+00;1.0280631373e+00
1.7039360000e-01;1.0036947266e+00;1.0000277901e+00;1.0000356222e+00;1.0089550500e+00;1.0194943567e+00;1.0003242646e+00;1.0002505132e+00;1.0020585903e+00;1.0275084549e+00;1.0008568989e+00;1.0035709884e+00;1.0055977442e+00;9.9995941851e-01;1.0019452194e+00;1.0027893195e+00;1.0000924532e+00;1.0000149937e+00;1.0393904534e+00;1.0427878268e+00;1.0279291897e+00
1.8350080000e-01;1.0036764292e+00;1.0001534769e+00;9.9991045139e-01;1.0089433068e+00;1.0195004008e+00;1.0001804476e+00;1.0001511228e+00;1.0019592451e+00;1.0274056930e+00;1.0007766149e+00;1.0036464850e+00;1.0055552046e+00;9.9991133436e-01;1.0019324578e+00;1.0028564203e+00;1.0000367886e+00;1.0000278585e+00;1.0393007419e+00;1.0427344875e+00;1.0278679014e+00
1.9660800000e-01;1.0039059512e+00;1.0002196727e+00;9.9993491632e-01;1.0089034886e+00;1.0194566776e+00;1.0001489834e+00;1.0000623226e+00;1.0019220449e+00;1.0273019043e+00;1.0007137855e+00;1.0036316505e+00;1.0055615062e+00;9.9995933845e-01;1.0019821318e+00;1.0029166852e+00;1.0000054754e+00;1.0001195560e+00;1.0392319219e+00;1.0426472831e+00;1.0281833092e+00
2.0971520000e-01;1.0038220053e+00;1.0001823737e+00;9.9996909737e-01;1.0088153948e+00;1.0195098082e+00;9.9992563374e-01;1.0001963621e+00;1.0019330269e+00;1.0271759986e+00;1.0008558235e+00;1.0035869284e+00;1.0055276859e+00;9.9993641891e-01;1.0020491601e+00;1.0028630154e+00;1.0000666778e+00;1.0001932170e+00;1.0392253838e+00;1.0425687402e+00;1.0280497861e+00
2.3592960000e-01;1.0035279278e+00;1.0001624532e+00;9.9995287296e-01;1.0087542173e+00;1.0193521936e+00;1.0000636144e+00;1.0001875578e+00;1.0020175327e+00;1.0268014939e+00;1.0007804685e+00;1.0035643624e+00;1.0056591198e+00;1.0000544668e+00;1.0018898422e+00;1.0027552225e+00;1.0002495263e+00;1.0000950365e+00;1.0389472847e+00;1.0423119582e+00;1.0280785447e+00
2.6214400000e-01;1.0035266637e+00;1.0002120794e+00;1.0001099034e+00;1.0087411178e+00;1.0192608690e+00;1.0002384911e+00;1.0001360316e+00;1.0019653581e+00;1.0264953391e+00;1.0007434180e+00;1.0035411703e+00;1.0055263763e+00;1.0000378132e+00;1.0021497613e+00;1.0027819478e+00;1.0001292341e+00;1.0000134893e+00;1.0390252055e+00;1.0420710982e+00;1.0280494572e+00
2.8835840000e-01;1.0034977030e+00;1.0001856508e+00;1.0001803543e+00;1.0086777915e+00;1.0192537893e+00;1.0002302806e+00;1.0002579999e+00;1.0020079848e+00;1.0261593859e+00;1.0008567522e+00;1.0035166694e+00;1.0055010324e+00;9.9994338334e-01;1.0020928233e+00;1.0028122333e+00;1.0001960718e+00;1.0000818910e+00;1.0387984616e+00;1.0417654032e+00;1.0280032451e+00
3.1457280000e-01;1.0036361293e+00;1.0002919300e+00;1.0001613439e+00;1.0086006084e+00;1.0190542455e+00;1.0002653235e+00;1.0002072558e+00;1.0020576006e+00;1.0258975100e+00;1.0007338717e+00;1.0034631032e+00;1.0055207255e+00;1.0000536299e+00;1.0019868941e+00;1.0029045217e+00;1.0001450218e+00;1.0001066681e+00;1.0383953514e+00;1.0414396670e+00;1.0277504982e+00
3.4078720000e-01;1.0035571562e+00;1.0000201584e+00;1.0002398924e+00;1.0085346056e+00;1.0190689918e+00;1.0002358432e+00;1.0001691289e+00;1.0020870779e+00;1.0254583924e+00;1.0007672383e+00;1.0033919374e+00;1.0053842970e+00;1.0001302606e+00;1.0018748899e+00;1.0027480186e+00;1.0001137545e+00;1.0000556317e+00;1.0380001569e+00;1.0411900853e+00;1.0276699128e+00
3.6700160000e-01;1.0034413456e+00;1.0000624921e+00;1.0001606190e+00;1.0084878668e+00;1.0190519604e+00;1.0002059744e+00;1.0001162414e+00;1.0019122818e+00;1.0249953879e+00;1.0006936424e+00;1.0034172755e+00;1.0053581372e+00;1.0000509424e+00;1.0018312559e+00;1.0029355351e+00;1.0003050361e+00;1.0001112454e+00;1.0376092933e+00;1.0408876792e+00;1.0274811096e+00
3.9321600000e-01;1.0034938934e+00;9.9997175778e-01;1.0003659938e+00;1.0083072414e+00;1.0188760558e+00;1.0001148741e+00;1.0001188163e+00;1.0018019168e+00;1.0247572925e+00;1.0007210338e+00;1.0033995032e+00;1.0054691003e+00;9.9993447023e-01;1.0019196130e+00;1.0028435280e+00;1.0002348662e+00;9.9992101390e-01;1.0374011217e+00;1.0407353907e+00;1.0274381957e+00
4.1943040000e-01;1.0035169196e+00;1.0000046837e+00;1.0001764763e+00;1.0082298960e+00;1.0189163170e+00;1.0002521347e+00;1.0001180614e+00;1.0018108449e+00;1.0243909821e+00;1.0007591048e+00;1.0033971615e+00;1.0053665448e+00;9.9999325835e-01;1.0019889699e+00;1.0029738007e+00;1.0002360240e+00;9.9989740771e-01;1.0372173659e+00;1.0404482082e+00;1.0272900140e+00
4.7185920000e-01;1.0034987311e+00;1.0000432686e+00;1.0000963986e+00;1.0080779566e+00;1.0187418407e+00;1.0001899374e+00;1.0002751985e+00;1.0018726929e+00;1.0238126599e+00;1.0006945161e+00;1.0034406839e+00;1.0052333119e+00;1.0000710149e+00;1.0018915817e+00;1.0027750586e+00;1.0000131543e+00;1.0000670681e+00;1.0372164805e+00;1.0401194522e+00;1.0271674906e+00
5.2428800000e-01;1.0034496737e+00;1.0001029902e+00;1.0001409099e+00;1.0079038300e+00;1.0187147212e+00;1.0002683468e+00;1.0001498058e+00;1.0019452949e+00;1.0235242987e+00;1.0007725689e+00;1.0033768304e+00;1.0052473924e+00;1.0000443432e+00;1.0018905776e+00;1.0026777167e+00;1.0000971695e+00;9.9999436161e-01;1.0371453990e+00;1.0397511095e+00;1.0272590992e+00
5.7671680000e-01;1.0034007692e+00;1.0001734179e+00;1.0001273445e+00;1.0077217326e+00;1.0185851229e+00;1.0002920306e+00;1.0001716443e+00;1.0018010410e+00;1.0230495186e+00;1.0008049979e+00;1.0033443148e+00;1.0054010988e+00;9.9990318828e-01;1.0018346127e+00;1.0026955759e+00;1.0001325750e+00;1.0000075283e+00;1.0367355115e+00;1.0391367388e+00;1.0272243584e+00
6.2914560000e-01;1.0034146389e+00;9.9999361290e-01;1.0000337478e+00;1.0073744970e+00;1.0185072592e+00;1.0001686285e+00;1.0000897413e+00;1.0017658580e+00;1.0226866274e+00;1.0007302399e+00;1.0033299436e+00;1.0053864785e+00;9.9999777564e-01;1.0018559648e+00;1.0027098354e+00;1.0000127565e+00;1.0000551255e+00;1.0360806760e+00;1.0387097244e+00;1.0269477012e+00
6.8157440000e-01;1.0033374425e+00;1.0000067847e+00;1.0001122776e+00;1.0072315140e+00;1.0185446231e+00;1.0000998939e+00;1.0000271852e+00;1.0016467314e+00;1.0223329998e+00;1.0006585030e+00;1.0032987756e+00;1.0051696715e+00;1.0000625461e+00;1.0016592265e+00;1.0026991738e+00;1.0000223844e+00;1.0000368270e+00;1.0355631897e+00;1.0384719346e+00;1.0265929599e+00
7.3400320000e-01;1.0033882552e+00;1.0000603681e+00;1.0001357672e+00;1.0071544992e+00;1.0183554628e+00;1.0001253226e+00;1.0002208072e+00;1.0016725510e+00;1.0222412438e+00;1.0006293132e+00;1.0032878232e+00;1.0051506110e+00;1.0000566707e+00;1.0017654055e+00;1.0026825640e+00;1.0000922123e+00;1.0000795407e+00;1.0353132977e+00;1.0380278886e+00;1.0261857662e+00
7.8643200000e-01;1.0033728608e+00;1.0000461884e+00;1.0000634917e+00;1.0069368589e+00;1.0182168699e+00;1.0002798528e+00;1.0000758297e+00;1.0016136336e+00;1.0223037070e+00;1.0006059131e+00;1.0033186868e+00;1.0052118189e+00;9.9999259047e-01;1.0017929793e+00;1.0027462223e+00;1.0000836646e+00;1.0000084911e+00;1.0353437186e+00;1.0374152349e+00;1.0263458560e+00
8.3886080000e-01;1.0032779324e+00;9.9997339123e-01;1.0001162881e+00;1.0068163268e+00;1.0181125804e+00;1.0002764269e+00;1.0001869864e+00;1.0016254486e+00;1.0223687068e+00;1.0005250976e+00;1.0033837308e+00;1.0053050791e+00;1.0000898688e+00;1.0017367991e+00;1.0026603965e+00;1.0001297359e+00;1.0001079369e+00;1.0350834742e+00;1.0368550397e+00;1.0262358394e+00
9.4371840000e-01;1.0031936721e+00;9.9998762192e-01;1.0000417920e+00;1.0063077034e+00;1.0177528438e+00;1.0002325385e+00;1.0001735669e+00;1.0015543192e+00;1.0225150637e+00;1.0004520952e+00;1.0032526059e+00;1.0051503585e+00;9.9998437994e-01;1.0016782322e+00;1.0026070638e+00;1.0001122342e+00;1.0000536104e+00;1.0334961103e+00;1.0356850185e+00;1.0258295698e+00
1.0485760000e+00;1.0030843178e+00;1.0000923606e+00;1.0000011304e+00;1.0057284808e+00;1.0175718252e+00;1.0002036826e+00;1.0001347931e+00;1.0014435880e+00;1.0230187054e+00;1.0004782336e+00;1.0031788156e+00;1.0050424777e+00;9.9995664528e-01;1.0018333903e+00;1.0026045938e+00;1.0001277144e+00;1.0000612825e+00;1.0328915507e+00;1.0346894010e+00;1.0255789059e+00
1.1534336000e+00;1.0029866507e+00;9.9996022137e-01;1.0001278937e+00;1.0054499425e+00;1.0172539707e+00;1.0001726848e+00;1.0000954280e+00;1.0014487426e+00;1.0234277948e+00;1.0004533757e+00;1.0031209367e+00;1.0050751768e+00;9.9996559508e-01;1.0016668226e+00;1.0025944730e+00;1.0001103587e+00;1.0000522262e+00;1.0321320160e+00;1.0336286458e+00;1.0251398810e+00
1.2582912000e+00;1.0029409244e+00;9.9999963495e-01;9.9998947711e-01;1.0050213448e+00;1.0171462929e+00;1.0000710961e+00;1.0001247721e+00;1.0013697680e+00;1.0235080191e+00;1.0004040557e+00;1.0030227093e+00;1.0050659721e+00;9.9989966032e-01;1.0016377955e+00;1.0024896513e+00;1.0001158140e+00;1.0000232232e+00;1.0312881248e+00;1.0326517543e+00;1.0245609052e+00
1.3631488000e+00;1.0028688629e+00;9.9998405472e-01;1.0000979969e+00;1.0046917388e+00;1.0169764960e+00;1.0002414655e+00;1.0000631360e+00;1.0013480703e+00;1.0231600171e+00;1.0003885923e+00;1.0030884555e+00;1.0049616441e+00;9.9994800272e-01;1.0016827262e+00;1.0025168216e+00;1.0001346790e+00;1.0000609151e+00;1.0307744061e+00;1.0320828236e+00;1.0242575430e+00
1.4680064000e+00;1.0028745715e+00;9.9993710000e-01;1.0000818035e+00;1.0044765941e+00;1.0166376372e+00;1.0001561914e+00;1.0000870759e+00;1.0012605671e+00;1.0226356974e+00;1.0003068687e+00;1.0030282382e+00;1.0049669263e+00;9.9992497576e-01;1.0015854849e+00;1.0024711786e+00;1.0002131272e+00;1.0001128625e+00;1.0296735098e+00;1.0312014699e+00;1.0234854384e+00
