;05_DP_3_1_1_1;05_DP_3_2_1_1;05_DP_3_3_1_1;05_DP_3_4_1_1;05_DP_3_5_1_1;05_DP_3_6_1_1;05_DP_3_7_1_1;05_DP_3_8_1_1;05_DP_3_9_1_1;05_DP_3_10_1_1;05_DP_3_11_1_1;05_DP_3_12_1_1;05_DP_3_13_1_1;05_DP_3_14_1_1;05_DP_3_15_1_1;05_DP_3_16_1_1;05_DP_3_17_1_1;05_DP_3_18_1_1;05_DP_3_19_1_1;05_DP_3_20_1_1
2.8000000000e-06;1.0683869530e+00;1.0681964029e+00;1.0669129938e+00;1.0672662085e+00;1.0703936532e+00;1.0699733968e+00;1.0686477420e+00;1.0687863527e+00;1.0709470944e+00;1.0713260694e+00;1.0724234211e+00;1.0744919008e+00;1.0739325575e+00;1.0749992142e+00;1.0748000664e+00;1.0756384082e+00;1.0774121615e+00;1.0779805930e+00;1.0750573037e+00;1.0766968117e+00
3.0000000000e-06;1.0674680216e+00;1.0678184836e+00;1.0687640092e+00;1.0706641195e+00;1.0694348239e+00;1.0713773928e+00;1.0713786047e+00;1.0704148525e+00;1.0716313973e+00;1.0721871419e+00;1.0735169580e+00;1.0751305264e+00;1.0739912425e+00;1.0758208223e+00;1.0756589366e+00;1.0770482117e+00;1.0777377548e+00;1.0760950619e+00;1.0786683172e+00;1.0776198553e+00
3.2000000000e-06;1.0672321914e+00;1.0670262705e+00;1.0664436769e+00;1.0665368164e+00;1.0673976097e+00;1.0685724937e+00;1.0704617635e+00;1.0689543101e+00;1.0703693122e+00;1.0702616335e+00;1.0723331937e+00;1.0722323156e+00;1.0714623383e+00;1.0718311284e+00;1.0727557496e+00;1.0764608606e+00;1.0756172252e+00;1.0754622044e+00;1.0747327211e+00;1.0764032229e+00
3.6000000000e-06;1.0649314131e+00;1.0668811768e+00;1.0664848316e+00;1.0682153481e+00;1.0654994973e+00;1.0683944215e+00;1.0691311055e+00;1.0687139412e+00;1.0690958149e+00;1.0713069407e+00;1.0721567628e+00;1.0724151635e+00;1.0719876010e+00;1.0737495412e+00;1.0736599417e+00;1.0745432034e+00;1.0746349117e+00;1.0752516257e+00;1.0754873571e+00;1.0748811606e+00
4.0000000000e-06;1.0649962703e+00;1.0668938563e+00;1.0648452469e+00;1.0678255841e+00;1.0675576553e+00;1.0693084434e+00;1.0686929223e+00;1.0685896239e+00;1.0699927802e+00;1.0712847530e+00;1.0710716388e+00;1.0729746823e+00;1.0718084945e+00;1.0729217306e+00;1.0739538262e+00;1.0742545115e+00;1.0733843225e+00;1.0734763720e+00;1.0757100393e+00;1.0751107418e+00
4.4000000000e-06;1.0647658098e+00;1.0658912190e+00;1.0651723960e+00;1.0663027281e+00;1.0656679460e+00;1.0673630519e+00;1.0675056756e+00;1.0690731244e+00;1.0684976056e+00;1.0709622243e+00;1.0709443881e+00;1.0724891707e+00;1.0712125081e+00;1.0733060218e+00;1.0725773751e+00;1.0733998079e+00;1.0746775362e+00;1.0749663528e+00;1.0745310889e+00;1.0747296326e+00
4.8000000000e-06;1.0637131907e+00;1.0653922722e+00;1.0640497856e+00;1.0661312543e+00;1.0654222110e+00;1.0693772578e+00;1.0662097105e+00;1.0676738373e+00;1.0679247406e+00;1.0688028953e+00;1.0701530958e+00;1.0705667377e+00;1.0703856411e+00;1.0724976472e+00;1.0714657442e+00;1.0729404501e+00;1.0740304524e+00;1.0723265123e+00;1.0740497475e+00;1.0735714444e+00
5.2000000000e-06;1.0625021609e+00;1.0646364335e+00;1.0651392039e+00;1.0648790762e+00;1.0653233539e+00;1.0668628758e+00;1.0662444570e+00;1.0675706436e+00;1.0673326166e+00;1.0686924982e+00;1.0684389948e+00;1.0721245867e+00;1.0709500996e+00;1.0717232857e+00;1.0715352220e+00;1.0707925886e+00;1.0715132356e+00;1.0730859218e+00;1.0733299429e+00;1.0735606773e+00
5.6000000000e-06;1.0634451551e+00;1.0637971378e+00;1.0639895775e+00;1.0640799428e+00;1.0652010625e+00;1.0674785243e+00;1.0657682895e+00;1.0674143321e+00;1.0674063621e+00;1.0675268081e+00;1.0695738391e+00;1.0698475999e+00;1.0692359604e+00;1.0708522619e+00;1.0704115131e+00;1.0706741088e+00;1.0725413838e+00;1.0716853387e+00;1.0733725988e+00;1.0723902529e+00
6.0000000000e-06;1.0632999927e+00;1.0639905368e+00;1.0641796822e+00;1.0641925834e+00;1.0653206120e+00;1.0666158868e+00;1.0648960551e+00;1.0666097376e+00;1.0673101283e+00;1.0679109664e+00;1.0692126191e+00;1.0702021413e+00;1.0676060494e+00;1.0701950346e+00;1.0701938040e+00;1.0718782901e+00;1.0721552381e+00;1.0724396296e+00;1.0726054883e+00;1.0717865642e+00
