;03_DM100_2_1_1_1;03_DM100_2_2_1_1;03_DM100_2_3_1_1;03_DM100_2_4_1_1;03_DM100_2_5_1_1;03_DM100_2_6_1_1;03_DM100_2_7_1_1;03_DM100_2_8_1_1;03_DM100_2_9_1_1;03_DM100_2_10_1_1;03_DM100_2_11_1_1;03_DM100_2_12_1_1;03_DM100_2_13_1_1;03_DM100_2_14_1_1;03_DM100_2_15_1_1;03_DM100_2_16_1_1;03_DM100_2_17_1_1;03_DM100_2_18_1_1
3.2000000000e-06;1.0253900478e+00;1.0255068868e+00;1.0257045040e+00;1.0257645159e+00;1.0254910277e+00;1.0258691227e+00;1.0263128478e+00;1.0259841866e+00;1.0262211359e+00;1.0267253975e+00;1.0259195795e+00;1.0259529009e+00;1.0256542481e+00;1.0261205551e+00;1.0254583227e+00;1.0251860369e+00;1.0261247599e+00;1.0259540846e+00
3.6000000000e-06;1.0256125443e+00;1.0257593528e+00;1.0258591929e+00;1.0260393657e+00;1.0259001791e+00;1.0260447388e+00;1.0262165546e+00;1.0262809524e+00;1.0267011210e+00;1.0271178123e+00;1.0262666843e+00;1.0261804469e+00;1.0262763912e+00;1.0262599505e+00;1.0262203296e+00;1.0260978921e+00;1.0264742340e+00;1.0259433544e+00
4.0000000000e-06;1.0253951151e+00;1.0263055179e+00;1.0257659003e+00;1.0267687483e+00;1.0256314770e+00;1.0262561796e+00;1.0256914504e+00;1.0266024963e+00;1.0273160394e+00;1.0267602065e+00;1.0265621279e+00;1.0265058915e+00;1.0254878415e+00;1.0260073947e+00;1.0262087485e+00;1.0257344938e+00;1.0259653002e+00;1.0260642903e+00
4.4000000000e-06;1.0254936779e+00;1.0255122638e+00;1.0257581421e+00;1.0260500368e+00;1.0256058385e+00;1.0260234121e+00;1.0258063634e+00;1.0258392358e+00;1.0262908041e+00;1.0265344461e+00;1.0253430483e+00;1.0256834981e+00;1.0260714593e+00;1.0256320328e+00;1.0262245977e+00;1.0257440407e+00;1.0260731732e+00;1.0255934967e+00
4.8000000000e-06;1.0251998262e+00;1.0253109548e+00;1.0259028348e+00;1.0259769922e+00;1.0255910009e+00;1.0251396788e+00;1.0259994931e+00;1.0253619159e+00;1.0260853281e+00;1.0264497158e+00;1.0262956838e+00;1.0259004893e+00;1.0257325036e+00;1.0253365576e+00;1.0257714373e+00;1.0260314291e+00;1.0260146357e+00;1.0259682977e+00
5.2000000000e-06;1.0251124091e+00;1.0248844578e+00;1.0257088514e+00;1.0257607294e+00;1.0254105912e+00;1.0255001406e+00;1.0252689775e+00;1.0256366535e+00;1.0263438962e+00;1.0259917511e+00;1.0254799302e+00;1.0255123888e+00;1.0256525658e+00;1.0255675973e+00;1.0256462178e+00;1.0255903466e+00;1.0258067584e+00;1.0251942790e+00
5.6000000000e-06;1.0250215484e+00;1.0250698624e+00;1.0250065109e+00;1.0255241772e+00;1.0249459939e+00;1.0255040397e+00;1.0260138481e+00;1.0256362410e+00;1.0260644921e+00;1.0255852015e+00;1.0256066507e+00;1.0253833534e+00;1.0253517704e+00;1.0252327488e+00;1.0255034467e+00;1.0252019090e+00;1.0251203249e+00;1.0249200108e+00
6.0000000000e-06;1.0248177294e+00;1.0249392667e+00;1.0251466347e+00;1.0254135289e+00;1.0250999986e+00;1.0252464751e+00;1.0254823458e+00;1.0255305462e+00;1.0256326928e+00;1.0261043128e+00;1.0254129369e+00;1.0252323969e+00;1.0254023097e+00;1.0250129986e+00;1.0250621237e+00;1.0251133923e+00;1.0253790339e+00;1.0254216337e+00
6.4000000000e-06;1.0246012907e+00;1.0249665513e+00;1.0244005837e+00;1.0246810353e+00;1.0242292496e+00;1.0251021220e+00;1.0251008464e+00;1.0251760456e+00;1.0263372228e+00;1.0255839652e+00;1.0249743810e+00;1.0256252186e+00;1.0242835870e+00;1.0248508533e+00;1.0250794256e+00;1.0247916797e+00;1.0248326944e+00;1.0242942303e+00
7.2000000000e-06;1.0241023290e+00;1.0242923256e+00;1.0243392507e+00;1.0250272977e+00;1.0243570550e+00;1.0244390937e+00;1.0245168939e+00;1.0245661617e+00;1.0254377201e+00;1.0253733699e+00;1.0248978243e+00;1.0248739913e+00;1.0247932172e+00;1.0246634712e+00;1.0247224899e+00;1.0245984831e+00;1.0247055074e+00;1.0247209312e+00
